id,label,type
gene57,MITF,messenger RNA
gene58,PMEPA1,messenger RNA
gene59,LPP,messenger RNA
gene60,AXL,messenger RNA
gene61,PLXDC2,messenger RNA
gene62,JPH2,messenger RNA
gene63,HEG1,messenger RNA
gene64,ITM2B,messenger RNA
gene65,NRG1,messenger RNA
gene66,KCND2,messenger RNA
gene67,ENTPD4,messenger RNA
gene68,PTPRD,messenger RNA
gene69,ELAVL2,messenger RNA
gene70,MTPN,messenger RNA
gene71,SOS1,messenger RNA
gene72,BBX,messenger RNA
gene73,RLIM,messenger RNA
gene74,AFF3,messenger RNA
gene75,XIAP,messenger RNA
gene76,CPEB3,messenger RNA
gene77,KIF3A,messenger RNA
gene78,DCP2,messenger RNA
gene79,DAAM1,messenger RNA
gene80,MIB1,messenger RNA
gene81,PPM1D,messenger RNA
gene82,GRPEL2,messenger RNA
gene83,DTWD2,messenger RNA
gene84,TET3,messenger RNA
gene85,ATP6V1A,messenger RNA
gene86,CNNM2,messenger RNA
gene87,IRGQ,messenger RNA
gene88,FEM1B,messenger RNA
gene89,YY1,messenger RNA
gene90,GPR157,messenger RNA
gene91,CABLES2,messenger RNA
gene92,ONECUT2,messenger RNA
gene93,TCF4,messenger RNA
gene94,DKK3,messenger RNA
gene95,ITGAV,messenger RNA
gene96,PDZD2,messenger RNA
gene97,RBFOX2,messenger RNA
gene98,IPO5,messenger RNA
gene99,DDX3X,messenger RNA
gene100,CALN1,messenger RNA
gene101,CACNA1C,messenger RNA
gene102,HIPK1,messenger RNA
gene103,MAP4K4,messenger RNA
gene104,TTC28,messenger RNA
gene105,NAV3,messenger RNA
gene106,CTDSPL2,messenger RNA
gene107,PPP1R9A,messenger RNA
gene108,MSRB3,messenger RNA
gene109,ZNF281,messenger RNA
gene110,CROT,messenger RNA
gene111,CDH6,messenger RNA
gene112,SH2B3,messenger RNA
gene113,TRAM2,messenger RNA
gene114,SLC30A4,messenger RNA
gene115,NCKAP1,messenger RNA
gene116,RORA,messenger RNA
gene117,STRN,messenger RNA
gene118,MAP3K7,messenger RNA
gene119,SLC16A7,messenger RNA
gene120,PLEKHM3,messenger RNA
gene121,STXBP5,messenger RNA
gene122,RBM33,messenger RNA
gene123,PALM2AKAP2,messenger RNA
gene124,DAB2,messenger RNA
gene125,MTDH,messenger RNA
gene126,CELF2,messenger RNA
gene127,SGMS2,messenger RNA
gene128,PPM1F,messenger RNA
gene129,BACH2,messenger RNA
gene130,TNS3,messenger RNA
gene131,FOXN3,messenger RNA
gene132,LMOD1,messenger RNA
gene133,FOXO1,messenger RNA
gene134,RFTN1,messenger RNA
gene135,ANTXR2,messenger RNA
gene136,ARL4C,messenger RNA
gene137,ELMO1,messenger RNA
gene138,BHLHE22,messenger RNA
gene139,PTAR1,messenger RNA
gene140,STX17,messenger RNA
gene141,EOGT,messenger RNA
gene142,GPCPD1,messenger RNA
gene143,TRIB2,messenger RNA
gene144,HMGCR,messenger RNA
gene145,ABHD5,messenger RNA
gene146,SLC16A14,messenger RNA
gene147,MEST,messenger RNA
gene148,TMTC3,messenger RNA
gene149,FKBP14,messenger RNA
gene150,DSC2,messenger RNA
gene151,NREP,messenger RNA
gene152,STMP1,messenger RNA
