id,label,type
C2CD2,C2CD2,Messenger RNA
MSN,MSN,Messenger RNA
GATA6,GATA6,Messenger RNA
MYLK,MYLK,Messenger RNA
TCF4,TCF4,Messenger RNA
CCND2,CCND2,Messenger RNA
CALN1,CALN1,Messenger RNA
SLC49A4,SLC49A4,Messenger RNA
ATP11C,ATP11C,Messenger RNA
TRPC3,TRPC3,Messenger RNA
MBNL3,MBNL3,Messenger RNA
JADE2,JADE2,Messenger RNA
CASP10,CASP10,Messenger RNA
NRG2,NRG2,Messenger RNA
CBX7,CBX7,Messenger RNA
PLPPR4,PLPPR4,Messenger RNA
DIO2,DIO2,Messenger RNA
CAV2,CAV2,Messenger RNA
SHOX2,SHOX2,Messenger RNA
LRRC28,LRRC28,Messenger RNA
ST6GALNAC3,ST6GALNAC3,Messenger RNA
KCNB1,KCNB1,Messenger RNA
ESR1,ESR1,Messenger RNA
SLC41A2,SLC41A2,Messenger RNA
ENTPD5,ENTPD5,Messenger RNA
TBX18,TBX18,Messenger RNA
PRRX1,PRRX1,Messenger RNA
VCL,VCL,Messenger RNA
SAR1B,SAR1B,Messenger RNA
STRADB,STRADB,Messenger RNA
SHROOM4,SHROOM4,Messenger RNA
FRZB,FRZB,Messenger RNA
ETV1,ETV1,Messenger RNA
CHIC2,CHIC2,Messenger RNA
NR3C2,NR3C2,Messenger RNA
PIK3IP1,PIK3IP1,Messenger RNA
TRPM3,TRPM3,Messenger RNA
ITGA11,ITGA11,Messenger RNA
SLC16A7,SLC16A7,Messenger RNA
TTC28,TTC28,Messenger RNA
EIF3L,EIF3L,Messenger RNA
ISLR2,ISLR2,Messenger RNA
MSRB3,MSRB3,Messenger RNA
FSTL1,FSTL1,Messenger RNA
CYP2U1,CYP2U1,Messenger RNA
RNF38,RNF38,Messenger RNA
ENPP5,ENPP5,Messenger RNA
FOXN3,FOXN3,Messenger RNA
RAB14,RAB14,Messenger RNA
KLF6,KLF6,Messenger RNA
EPB41L4A,EPB41L4A,Messenger RNA
ZMAT3,ZMAT3,Messenger RNA
RFLNB,RFLNB,Messenger RNA
SGCE,SGCE,Messenger RNA
F3,F3,Messenger RNA
BICC1,BICC1,Messenger RNA
TNS1,TNS1,Messenger RNA
LATS2,LATS2,Messenger RNA
CROT,CROT,Messenger RNA
ITGA9,ITGA9,Messenger RNA
TGFBR2,TGFBR2,Messenger RNA
RASGRF2,RASGRF2,Messenger RNA
BCL11B,BCL11B,Messenger RNA
CDH6,CDH6,Messenger RNA
NEDD9,NEDD9,Messenger RNA
PPP1R9A,PPP1R9A,Messenger RNA
ASPN,ASPN,Messenger RNA
VGLL3,VGLL3,Messenger RNA
LMOD1,LMOD1,Messenger RNA
MMP16,MMP16,Messenger RNA
GPR85,GPR85,Messenger RNA
SEPTIN11,SEPTIN11,Messenger RNA
TLE4,TLE4,Messenger RNA
LRMDA,LRMDA,Messenger RNA
LOX,LOX,Messenger RNA
SYT11,SYT11,Messenger RNA
B3GALT1,B3GALT1,Messenger RNA
NEDD4L,NEDD4L,Messenger RNA
GRAP2,GRAP2,Messenger RNA
KIAA1217,KIAA1217,Messenger RNA
TBX3,TBX3,Messenger RNA
PPP2CB,PPP2CB,Messenger RNA
PLPP3,PLPP3,Messenger RNA
TGFBR3,TGFBR3,Messenger RNA
TBC1D12,TBC1D12,Messenger RNA
HEY2,HEY2,Messenger RNA
LIFR,LIFR,Messenger RNA
SLC16A14,SLC16A14,Messenger RNA
ZBTB4,ZBTB4,Messenger RNA
SLC2A3,SLC2A3,Messenger RNA
CDK6,CDK6,Messenger RNA
CALU,CALU,Messenger RNA
HOXA3,HOXA3,Messenger RNA
NAV3,NAV3,Messenger RNA
KCNJ15,KCNJ15,Messenger RNA
TBCEL,TBCEL,Messenger RNA
PARD6B,PARD6B,Messenger RNA
NRBP1,NRBP1,Messenger RNA
TRHDE,TRHDE,Messenger RNA
PLXDC2,PLXDC2,Messenger RNA
HAS2,HAS2,Messenger RNA
DYNLT1,DYNLT1,Messenger RNA
IGDCC4,IGDCC4,Messenger RNA
CACNA1C,CACNA1C,Messenger RNA
NUMBL,NUMBL,Messenger RNA
TPD52,TPD52,Messenger RNA
SEMA5A,SEMA5A,Messenger RNA
MEF2D,MEF2D,Messenger RNA
NEDD4,NEDD4,Messenger RNA
MMP19,MMP19,Messenger RNA
ATOH8,ATOH8,Messenger RNA
COL8A1,COL8A1,Messenger RNA
LUZP1,LUZP1,Messenger RNA
CYBRD1,CYBRD1,Messenger RNA
TBX15,TBX15,Messenger RNA
SLC24A4,SLC24A4,Messenger RNA
KIAA1549L,KIAA1549L,Messenger RNA
