source,target,association
hsa-miR-365b-3p,hsa-miR-365a-3p,1.0
hsa-miR-30c-5p,hsa-miR-324-5p,0.5
hsa-miR-20a-5p,hsa-miR-17-5p,0.273
hsa-miR-20a-5p,hsa-miR-92a-3p,0.25
hsa-miR-33b-5p,hsa-miR-33a-5p,0.2
hsa-miR-200a-3p,hsa-miR-141-3p,0.2
hsa-miR-193b-3p,hsa-miR-148b-3p,0.167
hsa-miR-33b-5p,hsa-miR-148b-3p,0.125
hsa-miR-29b-3p,hsa-miR-29c-3p,0.114
hsa-miR-193b-3p,hsa-miR-33b-5p,0.111
hsa-miR-192-5p,hsa-miR-16-5p,0.111
