accession_id,is_expressed
MIMAT0003339,1
MIMAT0003340,1
MIMAT0003386,1
MIMAT0003389,1
MIMAT0003393,1
MIMAT0003879,1
MIMAT0003884,1
MIMAT0003885,1
MIMAT0003886,1
MIMAT0003887,1
MIMAT0003888,1
MIMAT0003948,0
MIMAT0004481,1
MIMAT0004482,1
MIMAT0004484,1
MIMAT0004485,1
MIMAT0004486,1
MIMAT0004489,1
MIMAT0004491,1
MIMAT0004493,1
MIMAT0004494,1
MIMAT0004495,1
MIMAT0004496,1
MIMAT0004497,1
MIMAT0004499,1
MIMAT0004500,1
MIMAT0004501,1
MIMAT0004502,1
MIMAT0004503,1
MIMAT0004504,1
MIMAT0004505,1
MIMAT0004507,1
MIMAT0004509,1
MIMAT0004511,1
MIMAT0004512,0
MIMAT0004513,1
MIMAT0004514,1
MIMAT0004515,1
MIMAT0004517,0
MIMAT0004518,1
MIMAT0004543,1
MIMAT0004549,1
MIMAT0004550,1
MIMAT0004551,1
MIMAT0004552,1
MIMAT0004553,1
MIMAT0004555,1
MIMAT0004556,1
MIMAT0004557,0
MIMAT0004558,1
MIMAT0004559,1
MIMAT0004563,1
MIMAT0004564,1
MIMAT0004565,0
MIMAT0004567,1
MIMAT0004568,1
MIMAT0004569,1
MIMAT0004570,1
MIMAT0004571,1
MIMAT0004584,1
MIMAT0004585,1
MIMAT0004586,1
MIMAT0004587,1
MIMAT0004588,1
MIMAT0004589,1
MIMAT0004592,1
MIMAT0004593,1
MIMAT0004594,1
MIMAT0004597,1
MIMAT0004598,1
MIMAT0004599,1
MIMAT0004600,1
MIMAT0004601,1
MIMAT0004602,1
MIMAT0004603,1
MIMAT0004604,1
MIMAT0004605,0
MIMAT0004606,1
MIMAT0004610,1
MIMAT0004611,1
MIMAT0004613,1
MIMAT0004614,1
MIMAT0004615,1
MIMAT0004657,1
MIMAT0004671,1
MIMAT0004672,1
MIMAT0004673,1
MIMAT0004674,0
MIMAT0004676,1
MIMAT0004677,1
MIMAT0004678,1
MIMAT0004679,1
MIMAT0004680,1
MIMAT0004681,1
MIMAT0004682,1
MIMAT0004683,1
MIMAT0004688,1
MIMAT0004689,1
MIMAT0004690,1
MIMAT0004692,1
MIMAT0004693,1
MIMAT0004694,1
MIMAT0004695,0
MIMAT0004696,0
MIMAT0004697,1
MIMAT0004699,1
MIMAT0004700,1
MIMAT0004701,1
MIMAT0004702,1
MIMAT0004703,1
MIMAT0004748,1
MIMAT0004749,1
MIMAT0004751,1
MIMAT0004752,1
MIMAT0004757,1
MIMAT0004761,1
MIMAT0004762,1
MIMAT0004765,1
MIMAT0004766,1
MIMAT0004767,1
MIMAT0004768,1
MIMAT0004770,1
MIMAT0004773,1
MIMAT0004774,1
MIMAT0004775,1
MIMAT0004776,1
MIMAT0004780,1
MIMAT0004784,1
MIMAT0004792,1
MIMAT0004797,1
MIMAT0004799,1
MIMAT0004800,1
MIMAT0004801,1
MIMAT0004805,1
MIMAT0004808,1
MIMAT0004809,1
MIMAT0004810,1
MIMAT0004811,1
MIMAT0004813,1
MIMAT0004814,1
MIMAT0004819,1
MIMAT0004902,1
MIMAT0004907,1
MIMAT0004909,1
MIMAT0004911,1
MIMAT0004920,1
MIMAT0004921,1
MIMAT0004926,1
MIMAT0004927,1
MIMAT0004929,1
MIMAT0004945,1
MIMAT0004946,1
MIMAT0004947,1
MIMAT0004949,1
MIMAT0004951,1
MIMAT0004952,0
MIMAT0004953,1
MIMAT0004954,1
MIMAT0004955,1
MIMAT0004956,1
MIMAT0004957,1
MIMAT0004959,0
MIMAT0004977,1
MIMAT0004978,1
MIMAT0004980,1
MIMAT0004982,1
MIMAT0004983,1
MIMAT0004985,1
MIMAT0004987,1
MIMAT0005452,1
MIMAT0005457,1
MIMAT0005458,1
MIMAT0005577,1
MIMAT0005580,0
MIMAT0005582,1
MIMAT0005583,1
MIMAT0005584,1
MIMAT0005592,0
MIMAT0005792,1
MIMAT0005793,1
MIMAT0005794,1
MIMAT0005796,1
MIMAT0005797,1
MIMAT0005824,1
MIMAT0005825,1
MIMAT0005874,0
MIMAT0005878,1
MIMAT0005881,1
MIMAT0005882,0
MIMAT0005884,0
MIMAT0005885,1
MIMAT0005892,0
MIMAT0005893,1
MIMAT0005899,1
MIMAT0005901,1
MIMAT0005905,1
MIMAT0005909,1
MIMAT0005914,1
MIMAT0005919,1
MIMAT0005920,1
MIMAT0005923,1
MIMAT0005924,1
MIMAT0005942,0
MIMAT0005943,1
MIMAT0005948,1
MIMAT0005949,1
MIMAT0005950,1
MIMAT0005951,1
MIMAT0006764,1
MIMAT0006789,1
MIMAT0006790,1
MIMAT0007400,0
MIMAT0009196,1
MIMAT0009197,1
MIMAT0009198,1
MIMAT0009199,1
MIMAT0009451,1
MIMAT0010195,1
MIMAT0010214,1
MIMAT0011156,1
MIMAT0011159,1
MIMAT0011160,0
MIMAT0011161,0
MIMAT0011163,0
MIMAT0014979,1
MIMAT0014988,0
MIMAT0014990,1
MIMAT0014995,1
MIMAT0015003,1
MIMAT0015005,0
MIMAT0015015,0
MIMAT0015020,1
MIMAT0015027,0
MIMAT0015045,1
MIMAT0015050,1
MIMAT0015054,0
MIMAT0015066,1
MIMAT0015077,0
MIMAT0015084,1
MIMAT0015085,1
MIMAT0015378,1
MIMAT0016847,1
MIMAT0016888,1
MIMAT0016895,1
MIMAT0016925,1
MIMAT0017352,1
MIMAT0017950,1
MIMAT0017982,1
MIMAT0017984,1
MIMAT0017985,1
MIMAT0017987,1
MIMAT0017990,1
MIMAT0017991,0
MIMAT0017992,1
MIMAT0017993,1
MIMAT0017994,1
MIMAT0018001,1
MIMAT0018004,1
MIMAT0018071,1
MIMAT0018073,1
MIMAT0018089,1
MIMAT0018101,1
MIMAT0018107,0
MIMAT0018108,0
MIMAT0018110,1
MIMAT0018116,0
MIMAT0018119,0
MIMAT0018183,1
MIMAT0018185,0
MIMAT0018186,0
MIMAT0018187,1
MIMAT0018194,1
MIMAT0018197,0
MIMAT0018201,0
MIMAT0018203,0
MIMAT0018204,1
MIMAT0018205,1
MIMAT0018349,0
MIMAT0018354,1
MIMAT0018356,0
MIMAT0018358,0
MIMAT0018360,0
MIMAT0018443,1
MIMAT0018926,1
MIMAT0018935,0
MIMAT0018962,1
MIMAT0018973,1
MIMAT0018983,1
MIMAT0018989,0
MIMAT0019000,1
MIMAT0019047,0
MIMAT0019058,1
MIMAT0019062,0
MIMAT0019063,0
MIMAT0019202,0
MIMAT0019208,1
MIMAT0019209,1
MIMAT0019211,0
MIMAT0019218,0
MIMAT0019221,1
