id,label,type
hsa-miR-374b-5p,hsa-miR-374b-5p,MicroRNA
hsa-let-7f-5p,hsa-let-7f-5p,MicroRNA
hsa-miR-30e-5p,hsa-miR-30e-5p,MicroRNA
hsa-miR-146b-5p,hsa-miR-146b-5p,MicroRNA
ZMAT3,ZMAT3,Messenger RNA
KLHL13,KLHL13,Messenger RNA
FST,FST,Messenger RNA
FAM126A,FAM126A,Messenger RNA
FRK,FRK,Messenger RNA
NEDD4,NEDD4,Messenger RNA
RORA,RORA,Messenger RNA
FSTL1,FSTL1,Messenger RNA
SLC41A2,SLC41A2,Messenger RNA
ZBTB4,ZBTB4,Messenger RNA
ESR1,ESR1,Messenger RNA
NRG1,NRG1,Messenger RNA
SH3PXD2A,SH3PXD2A,Messenger RNA
NREP,NREP,Messenger RNA
FKBP14,FKBP14,Messenger RNA
TMTC3,TMTC3,Messenger RNA
MAF,MAF,Messenger RNA
CREBRF,CREBRF,Messenger RNA
KCNJ15,KCNJ15,Messenger RNA
FNDC3A,FNDC3A,Messenger RNA
PPIC,PPIC,Messenger RNA
EIF4E2,EIF4E2,Messenger RNA
NRP1,NRP1,Messenger RNA
PTPRD,PTPRD,Messenger RNA
CREBL2,CREBL2,Messenger RNA
MAP4K4,MAP4K4,Messenger RNA
FNDC3B,FNDC3B,Messenger RNA
DAAM1,DAAM1,Messenger RNA
LIFR,LIFR,Messenger RNA
ONECUT2,ONECUT2,Messenger RNA
CELF2,CELF2,Messenger RNA
FOXN3,FOXN3,Messenger RNA
AHCYL2,AHCYL2,Messenger RNA
ZEB1,ZEB1,Messenger RNA
CROT,CROT,Messenger RNA
ATXN1,ATXN1,Messenger RNA
HEG1,HEG1,Messenger RNA
LOX,LOX,Messenger RNA
DZIP1,DZIP1,Messenger RNA
PTEN,PTEN,Messenger RNA
WAC,WAC,Messenger RNA
ETS1,ETS1,Messenger RNA
COL11A1,COL11A1,Messenger RNA
TTC14,TTC14,Messenger RNA
KLF12,KLF12,Messenger RNA
HIPK1,HIPK1,Messenger RNA
SGCE,SGCE,Messenger RNA
DCP2,DCP2,Messenger RNA
GLI3,GLI3,Messenger RNA
CBX7,CBX7,Messenger RNA
KIT,KIT,Messenger RNA
BNC2,BNC2,Messenger RNA
DOCK6,DOCK6,Messenger RNA
TNS1,TNS1,Messenger RNA
PLSCR4,PLSCR4,Messenger RNA
MEIS2,MEIS2,Messenger RNA
GJC1,GJC1,Messenger RNA
PEAK1,PEAK1,Messenger RNA
UHRF1BP1,UHRF1BP1,Messenger RNA
ADAM22,ADAM22,Messenger RNA
ERBB4,ERBB4,Messenger RNA
SATB2,SATB2,Messenger RNA
ELMO1,ELMO1,Messenger RNA
PDGFRA,PDGFRA,Messenger RNA
CLIP2,CLIP2,Messenger RNA
SOX17,SOX17,Messenger RNA
ATXN1L,ATXN1L,Messenger RNA
STRN,STRN,Messenger RNA
EIF5,EIF5,Messenger RNA
KPNA3,KPNA3,Messenger RNA
ARHGAP31,ARHGAP31,Messenger RNA
SPIN1,SPIN1,Messenger RNA
TBX18,TBX18,Messenger RNA
VTA1,VTA1,Messenger RNA
CCN4,CCN4,Messenger RNA
TBX15,TBX15,Messenger RNA
ITM2B,ITM2B,Messenger RNA
PTPRM,PTPRM,Messenger RNA
RSBN1L,RSBN1L,Messenger RNA
CALU,CALU,Messenger RNA
NR5A2,NR5A2,Messenger RNA
TCF12,TCF12,Messenger RNA
CLMN,CLMN,Messenger RNA
JCAD,JCAD,Messenger RNA
PDZD2,PDZD2,Messenger RNA
CDK6,CDK6,Messenger RNA
BAG1,BAG1,Messenger RNA
HAS2,HAS2,Messenger RNA
CPEB4,CPEB4,Messenger RNA
MSL2,MSL2,Messenger RNA
DEUP1,DEUP1,Messenger RNA
MEF2D,MEF2D,Messenger RNA
GPR137C,GPR137C,Messenger RNA
SECISBP2L,SECISBP2L,Messenger RNA
GPR157,GPR157,Messenger RNA
MACIR,MACIR,Messenger RNA
IL1RAP,IL1RAP,Messenger RNA
KLF6,KLF6,Messenger RNA
JAKMIP2,JAKMIP2,Messenger RNA
C17orf58,C17orf58,Messenger RNA
CALN1,CALN1,Messenger RNA
NAV1,NAV1,Messenger RNA
TGFBR2,TGFBR2,Messenger RNA
IGF1R,IGF1R,Messenger RNA
CALM1,CALM1,Messenger RNA
C18orf25,C18orf25,Messenger RNA
ADAM10,ADAM10,Messenger RNA
MTDH,MTDH,Messenger RNA
SGMS2,SGMS2,Messenger RNA
RALGPS2,RALGPS2,Messenger RNA
GALNT1,GALNT1,Messenger RNA
CSRNP3,CSRNP3,Messenger RNA
SYNPO2,SYNPO2,Messenger RNA
TNPO1,TNPO1,Messenger RNA
ZBTB20,ZBTB20,Messenger RNA
ZNF827,ZNF827,Messenger RNA
PTAR1,PTAR1,Messenger RNA
NRP2,NRP2,Messenger RNA
NFAT5,NFAT5,Messenger RNA
CDH11,CDH11,Messenger RNA
