id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient,paths,pathway_reach,functional_impact
MIB1,MIB1,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
SMAD5,SMAD5,Messenger RNA,0.0,5,0,,,,,,,
PRLR,PRLR,Messenger RNA,0.0,0,1,0.0,0.1923076923076923,0.0151515151515151,,,,
RNF111,RNF111,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
ABHD5,ABHD5,Messenger RNA,0.0,0,1,0.0,0.2723242558581381,0.0151515151515151,,,,
PEG10,PEG10,Messenger RNA,0.0,6,0,,,,,,,
VASH2,VASH2,Messenger RNA,0.0,0,1,0.0,0.3171091445427728,0.0151515151515151,,,,
GRPEL2,GRPEL2,Messenger RNA,0.0,0,1,0.0,0.2901484480431849,0.0151515151515151,,,,
VMP1,VMP1,Messenger RNA,0.0,0,1,0.0,0.3364632237871675,0.0151515151515151,,,,
LRCH1,LRCH1,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
ARFIP1,ARFIP1,Messenger RNA,0.0,0,1,0.0,0.3235515425131678,0.0151515151515151,,,,
SLC16A14,SLC16A14,Messenger RNA,0.0,0,1,0.0,0.2723242558581381,0.0151515151515151,,,,
AAK1,AAK1,Messenger RNA,0.0,0,1,0.0,0.3634826711749788,0.0151515151515151,,,,
EFNB2,EFNB2,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
TSPAN2,TSPAN2,Messenger RNA,0.0,0,1,0.0,0.3143274853801169,0.0151515151515151,,,,
ANK3,ANK3,Messenger RNA,0.0,0,1,0.0297589960167575,0.3706896551724138,0.0303030303030303,0.0,,,
NFIX,NFIX,Messenger RNA,0.0,22,0,,,,,,,
SPSB4,SPSB4,Messenger RNA,0.0,0,1,0.0,0.3171091445427728,0.0151515151515151,,,,
LAMC1,LAMC1,Messenger RNA,0.0,0,1,0.0182460939150159,0.3755458515283842,0.0303030303030303,0.0,,,
MSI2,MSI2,Messenger RNA,0.0,0,1,0.0041628061707261,0.256563245823389,0.0303030303030303,0.0,,,
AKT3,AKT3,Messenger RNA,0.0,0,1,0.0,0.3252647503782148,0.0151515151515151,,,,
KCTD16,KCTD16,Messenger RNA,2.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
RLIM,RLIM,Messenger RNA,0.0,0,1,0.0326916179974254,0.3504482477587612,0.0454545454545454,0.3333333333333333,,,
CACNA1C,CACNA1C,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
DKK3,DKK3,Messenger RNA,0.0,0,1,0.0075809954582609,0.3333333333333333,0.0303030303030303,0.0,,,
BBX,BBX,Messenger RNA,0.0,0,1,0.0091999299312684,0.3426294820717131,0.0303030303030303,1.0,,,
ANTXR2,ANTXR2,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
ADGRL2,ADGRL2,Messenger RNA,0.0,0,1,0.0072800885337488,0.3109182935647144,0.0303030303030303,0.0,,,
BMPR2,BMPR2,Messenger RNA,0.0,0,1,0.0,0.2349726775956284,0.0151515151515151,,,,
FGF1,FGF1,Messenger RNA,0.0,0,1,0.0,0.3252647503782148,0.0151515151515151,,,,
TBX3,TBX3,Messenger RNA,0.0,23,0,,,,,,,
NCKAP1,NCKAP1,Messenger RNA,0.0,0,1,0.0043766578249336,0.3297546012269938,0.0303030303030303,0.0,,,
MAP3K1,MAP3K1,Messenger RNA,0.0,0,1,0.0,0.2462772050400916,0.0151515151515151,,,,
FLNC,FLNC,Messenger RNA,0.0,0,1,0.0,0.2564102564102564,0.0151515151515151,,,,
VEZF1,VEZF1,Messenger RNA,0.0,0,1,0.0,0.2591922845087402,0.0151515151515151,,,,
SLC16A6,SLC16A6,Messenger RNA,0.0,0,1,0.0,0.2677459526774595,0.0151515151515151,,,,
SRGAP1,SRGAP1,Messenger RNA,0.0,1,0,,,,,,,
CAMKK2,CAMKK2,Messenger RNA,0.0,0,1,0.0,0.2526439482961222,0.0151515151515151,,,,
PRKG1,PRKG1,Messenger RNA,0.0,0,1,0.0065121113435988,0.34181240063593,0.0303030303030303,0.0,,,
JADE2,JADE2,Messenger RNA,0.0,0,1,0.0217159971591193,0.3706896551724138,0.0454545454545454,0.6666666666666666,,,
FOSL2,FOSL2,Messenger RNA,0.0,0,1,0.0270869616578451,0.3716508210890233,0.0303030303030303,0.0,,,
CYTH3,CYTH3,Messenger RNA,1.0,0,1,0.0,0.3082437275985663,0.0151515151515151,,,,
USF3,USF3,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
SLC30A4,SLC30A4,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
SLC16A7,SLC16A7,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
MYLK,MYLK,Messenger RNA,0.0,0,1,0.0095699405295689,0.3279938977879481,0.0303030303030303,1.0,,,
NAV3,NAV3,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
TRAM2,TRAM2,Messenger RNA,0.0,0,1,0.0,0.3295019157088122,0.0151515151515151,,,,
PRRC2C,PRRC2C,Messenger RNA,0.0,0,1,0.0,0.2847682119205298,0.0151515151515151,,,,
RCBTB1,RCBTB1,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
SUCO,SUCO,Messenger RNA,0.0,0,1,0.0216938234179613,0.3338509316770186,0.0303030303030303,0.0,,,
MLEC,MLEC,Messenger RNA,0.0,0,1,0.0,0.2649414664202095,0.0151515151515151,,,,
TLCD5,TLCD5,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
ZSWIM4,ZSWIM4,Messenger RNA,0.0,0,1,0.0,0.3448275862068966,0.0151515151515151,,,,
NAV2,NAV2,Messenger RNA,0.0,0,1,0.0,0.3325599381283836,0.0151515151515151,,,,
CDS1,CDS1,Messenger RNA,0.0,0,1,0.0,0.2203997949769349,0.0151515151515151,,,,
FTO,FTO,Messenger RNA,0.0,0,1,0.0036242979897535,0.3235515425131678,0.0303030303030303,1.0,,,
DAB2,DAB2,Messenger RNA,0.0,0,1,0.0,0.270440251572327,0.0151515151515151,,,,
