accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue,is_interaction_of_interest
MIMAT0003218,hsa-miR-92b-3p,RAB3B,,0.0700256962289047,0.7763719823159336,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,RAD51D,,0.0281651992590174,0.6199560964427326,0.9269620300156484,0
MIMAT0003218,hsa-miR-92b-3p,RFX1,,0.0795194110702132,0.8060252909515115,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,RORA,,-0.0593374539898604,0.2598612439131489,0.6420017406105216,0
MIMAT0003218,hsa-miR-92b-3p,SNAPC1,,-0.013000902840475,0.4439614256615259,0.8092379320401736,0
MIMAT0003218,hsa-miR-92b-3p,SNX2,,-0.0531356344190568,0.2821769413027061,0.6674102319022813,0
MIMAT0003218,hsa-miR-92b-3p,SP1,,0.0389679838877699,0.6636938099773946,0.9498364994351154,0
MIMAT0003218,hsa-miR-92b-3p,TOP1,,0.0219181887631085,0.5939109732846894,0.9120000320461537,0
MIMAT0003218,hsa-miR-92b-3p,TUB,,0.0906799083269671,0.8376836392039084,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,UBE2G1,,-0.0212167511632752,0.409041591646242,0.7822489597398865,0
MIMAT0003218,hsa-miR-92b-3p,MFHAS1,,0.0526633794013473,0.7160871760656524,0.9767832602670798,0
MIMAT0003218,hsa-miR-92b-3p,BMPR1A,MIRT559189,0.0062851586915758,0.5271591157914488,0.8705101272353678,0
MIMAT0003218,hsa-miR-92b-3p,MOCS2,,0.1235502465448989,0.9105930516878228,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,SPRYD4,MIRT135571,-0.0213417598444336,0.4085150136110528,0.7820578746967419,0
MIMAT0003218,hsa-miR-92b-3p,NCKAP5,,0.0897701229252031,0.8352347023627633,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,MAFK,MIRT040737,0.018133203694701,0.5779204431132443,0.9030764593418048,0
MIMAT0003218,hsa-miR-92b-3p,ZC2HC1A,,-0.0220918119313841,0.4053590003067543,0.7794229453845578,0
MIMAT0003218,hsa-miR-92b-3p,DCC,,0.1394894954609834,0.9356786165599302,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,RSBN1,MIRT505823,-0.0402875199666643,0.3310970953858259,0.7150842681743295,0
MIMAT0003218,hsa-miR-92b-3p,RASAL2,,0.1789013125911521,0.9747117571129288,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,RBFOX2,MIRT469523,-0.1132370303493298,0.1090808665759569,0.4302721276291629,0
MIMAT0003218,hsa-miR-92b-3p,LIN54,,-0.047433849572887,0.3034642376719444,0.6900861246529099,0
MIMAT0003218,hsa-miR-92b-3p,ELOVL6,,-0.0533439822209875,0.2814127174751855,0.6665983984888326,0
MIMAT0003218,hsa-miR-92b-3p,USP44,,0.1450522433936218,0.943027600949746,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,YIPF4,MIRT206438,0.0090978540176401,0.5392803529839074,0.8779999744568804,0
MIMAT0003218,hsa-miR-92b-3p,DNAJC30,MIRT040551,0.1211403569692339,0.9062474760155258,0.9999999999999992,0
MIMAT0003218,hsa-miR-92b-3p,SLC45A3,,0.1779776373359261,0.9741002909760644,0.9999999999999992,0
