metrics,total_metrics,source,target,target_label,mediators,total_mediators
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:01522,Endocrine resistance,RUNX1T1,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04218,Cellular senescence,NEK4,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04380,Osteoclast differentiation,TMED8,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05225,Hepatocellular carcinoma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05224,Breast cancer,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05222,Small cell lung cancer,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05218,Melanoma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05214,Glioma,JCAD,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:05200,Pathways in cancer,JCAD,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04150,mTOR signaling pathway,RUNX1T1; AKAP12; DZIP1,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04014,Ras signaling pathway,BBX,1
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,DKK3,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05224,Breast cancer,BBX,1
betweenness_centrality; closeness_centrality; degree_centrality; functional_impact,4.0,hsa-miR-30b-5p,KEGG:04218,Cellular senescence,RAP2B; KLF12,2
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04140,Autophagy - animal,TMED8; STRADB,2
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04151,PI3K-Akt signaling pathway,NEK4; NEDD4L,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04010,MAPK signaling pathway,UHRF1BP1; BBX,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05215,Prostate cancer,RUNX1T1; DZIP1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05225,Hepatocellular carcinoma,RUNX1T1; DZIP1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04068,FoxO signaling pathway,RUNX1T1; DZIP1,2
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:04510,Focal adhesion,CYTH3; ADAMTS2,2
closeness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-330-3p,KEGG:04151,PI3K-Akt signaling pathway,JCAD; ADAMTS2,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,RUNX1T1; DZIP1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05222,Small cell lung cancer,DZIP1; BACH2,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04151,PI3K-Akt signaling pathway,UHRF1BP1; BBX,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05224,Breast cancer,RUNX1T1; DZIP1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04010,MAPK signaling pathway,FGF1; RUNX1T1,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05214,Glioma,RUNX1T1; DZIP1,2
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04010,MAPK signaling pathway,TMED8; YTHDC1; LIN54,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05205,Proteoglycans in cancer,FGF1; RUNX1T1; BACH2,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:04151,PI3K-Akt signaling pathway,RUNX1T1; DZIP1; BACH2,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04012,ErbB signaling pathway,UHRF1BP1,1
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:05200,Pathways in cancer,ACVR1B; NEK4; TMED8,3
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:05200,Pathways in cancer,WAC; TMED8; LIN54,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05200,Pathways in cancer,HIPK2; ARIH1; BBX,3
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:04010,MAPK signaling pathway,CREBL2; TMED8; NEDD4L,3
betweenness_centrality; degree_centrality; pathway_reach; redundancy_coefficient,4.0,hsa-miR-24-3p,KEGG:05202,Transcriptional misregulation in cancer,ACVR1B; NEK4,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-15b-5p,KEGG:05200,Pathways in cancer,RUNX1T1; DZIP1; BACH2,3
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04144,Endocytosis,CREB1,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05205,Proteoglycans in cancer,UHRF1BP1; ARIH1,2
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04722,Neurotrophin signaling pathway,TMED8; YTHDC1,2
betweenness_centrality; degree_centrality; functional_impact; pathway_reach,4.0,hsa-miR-34a-5p,KEGG:04014,Ras signaling pathway,WAC; LIN54,2
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:05202,Transcriptional misregulation in cancer,AFF3,1
betweenness_centrality; closeness_centrality; degree_centrality; pathway_reach,4.0,hsa-miR-27b-3p,KEGG:04926,Relaxin signaling pathway,ARIH1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04926,Relaxin signaling pathway,ELAVL2,1
betweenness_centrality; degree_centrality; functional_impact,3.0,hsa-miR-29a-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,DAAM1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04014,Ras signaling pathway,NAV1; ELAVL2,2
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04140,Autophagy - animal,NAV1,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:05225,Hepatocellular carcinoma,KIAA1217,1
betweenness_centrality; degree_centrality; functional_impact,3.0,hsa-miR-29a-3p,KEGG:04630,JAK-STAT signaling pathway,DAAM1,1
betweenness_centrality; closeness_centrality; degree_centrality,3.0,hsa-miR-148a-3p,KEGG:04144,Endocytosis,SPIN1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04725,Cholinergic synapse,ELAVL2; MTPN,2
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04510,Focal adhesion,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05200,Pathways in cancer,NAV1; ELAVL2,2
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04010,MAPK signaling pathway,NAV1; ELAVL2,2
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04151,PI3K-Akt signaling pathway,NAV1; ELAVL2,2
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04152,AMPK signaling pathway,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:01522,Endocrine resistance,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04150,mTOR signaling pathway,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04144,Endocytosis,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05225,Hepatocellular carcinoma,NAV1,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:05205,Proteoglycans in cancer,KIAA1217,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:05200,Pathways in cancer,KIAA1217,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:04926,Relaxin signaling pathway,KIAA1217,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05205,Proteoglycans in cancer,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05214,Glioma,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05215,Prostate cancer,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05218,Melanoma,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05224,Breast cancer,NAV1,1
betweenness_centrality; degree_centrality; functional_impact,3.0,hsa-miR-29a-3p,KEGG:05200,Pathways in cancer,DCP2,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:05202,Transcriptional misregulation in cancer,NAV1,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04068,FoxO signaling pathway,NAV1,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,KIAA1217,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04520,Adherens junction,NAV1,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:04218,Cellular senescence,KIAA1217,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,NAV1,1
betweenness_centrality; closeness_centrality; redundancy_coefficient,3.0,hsa-miR-130b-3p,KEGG:04144,Endocytosis,KIAA1217,1
functional_impact; pathway_reach; redundancy_coefficient,3.0,hsa-miR-26a-5p,KEGG:04713,Circadian entrainment,ELAVL2,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:04630,JAK-STAT signaling pathway,CCDC85C,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:05161,Hepatitis B,CCDC85C,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05200,Pathways in cancer,RUNX1T1,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:05200,Pathways in cancer,CCDC85C,1
functional_impact; redundancy_coefficient,2.0,hsa-let-7i-5p,KEGG:04725,Cholinergic synapse,MSI2,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05161,Hepatitis B,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04926,Relaxin signaling pathway,RUNX1T1,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,CCDC85C,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04722,Neurotrophin signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04630,JAK-STAT signaling pathway,RUNX1T1,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,CCDC85C,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04510,Focal adhesion,RUNX1T1,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04010,MAPK signaling pathway,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04152,AMPK signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04151,PI3K-Akt signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04150,mTOR signaling pathway,NFIX,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:04380,Osteoclast differentiation,CCDC85C,1
pathway_reach; redundancy_coefficient,2.0,hsa-miR-125b-5p,KEGG:04151,PI3K-Akt signaling pathway,CCDC85C,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05225,Hepatocellular carcinoma,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05205,Proteoglycans in cancer,RUNX1T1,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04380,Osteoclast differentiation,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04630,JAK-STAT signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04722,Neurotrophin signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04725,Cholinergic synapse,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04926,Relaxin signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05161,Hepatitis B,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05200,Pathways in cancer,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05205,Proteoglycans in cancer,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05214,Glioma,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05215,Prostate cancer,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05218,Melanoma,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05222,Small cell lung cancer,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05224,Breast cancer,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:05225,Hepatocellular carcinoma,NFIX,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:01522,Endocrine resistance,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04010,MAPK signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04012,ErbB signaling pathway,RUNX1T1,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04510,Focal adhesion,NFIX,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04014,Ras signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05214,Glioma,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:04068,FoxO signaling pathway,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05215,Prostate cancer,RUNX1T1,1
betweenness_centrality; closeness_centrality,2.0,hsa-miR-193b-3p,KEGG:05224,Breast cancer,RUNX1T1,1
functional_impact; redundancy_coefficient,2.0,hsa-let-7i-5p,KEGG:04713,Circadian entrainment,MSI2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04144,Endocytosis,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04218,Cellular senescence,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04380,Osteoclast differentiation,SRGAP1,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04510,Focal adhesion,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04630,JAK-STAT signaling pathway,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04713,Circadian entrainment,BMF,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04725,Cholinergic synapse,BMF,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:04926,Relaxin signaling pathway,BMF,1
functional_impact; redundancy_coefficient,2.0,hsa-let-7i-5p,KEGG:04010,MAPK signaling pathway,MSI2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:05215,Prostate cancer,SATB2,1
functional_impact; pathway_reach,2.0,hsa-miR-205-5p,KEGG:05218,Melanoma,SATB2,1
