metrics,total_metrics,source,target,target_label,mediators,total_mediators
functional_impact; pathway_reach,2.0,hsa-miR-181b-5p,KEGG:04151,PI3K-Akt signaling pathway,CBX7,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:04010,MAPK signaling pathway,NFIX,1
functional_impact; pathway_reach,2.0,hsa-miR-185-5p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,NFIX,1
redundancy_coefficient,1.0,hsa-miR-23b-3p,KEGG:04150,mTOR signaling pathway,FBXO28,1
functional_impact,1.0,hsa-miR-7-5p,KEGG:04218,Cellular senescence,SEMA6D,1
functional_impact,1.0,hsa-miR-381-3p,KEGG:04012,ErbB signaling pathway,ESR1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04014,Ras signaling pathway,COL6A3; KIRREL1,2
functional_impact,1.0,hsa-miR-7-5p,KEGG:04010,MAPK signaling pathway,BMPR2,1
closeness_centrality,1.0,hsa-miR-502-3p,KEGG:04520,Adherens junction,ATXN1,1
closeness_centrality,1.0,hsa-miR-502-3p,KEGG:04150,mTOR signaling pathway,CSNK1A1,1
functional_impact,1.0,hsa-miR-381-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,ESR1,1
closeness_centrality,1.0,hsa-miR-502-3p,KEGG:04140,Autophagy - animal,CSNK1A1,1
functional_impact,1.0,hsa-miR-151a-3p,KEGG:04144,Endocytosis,FRK,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:05202,Transcriptional misregulation in cancer,CALN1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04151,PI3K-Akt signaling pathway,PPIC; DIO2,2
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04152,AMPK signaling pathway,CEP41,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:05205,Proteoglycans in cancer,KCTD20,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04010,MAPK signaling pathway,KIRREL1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04926,Relaxin signaling pathway,CALN1,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:05161,Hepatitis B,CEP41,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04520,Adherens junction,CEP41,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04380,Osteoclast differentiation,CEP41,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04310,Wnt signaling pathway,CEP41,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04144,Endocytosis,RILPL1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04630,JAK-STAT signaling pathway,DIO2; DAAM1,2
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04140,Autophagy - animal,CEP41,1
pathway_reach,1.0,hsa-miR-186-5p,KEGG:04010,MAPK signaling pathway,CEP41,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:05200,Pathways in cancer,CALN1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:05161,Hepatitis B,CALN1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:05225,Hepatocellular carcinoma,CALN1,1
redundancy_coefficient,1.0,hsa-miR-33b-5p,KEGG:04144,Endocytosis,RIC1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04713,Circadian entrainment,COL6A3; KCTD20,2
functional_impact,1.0,hsa-miR-7-5p,KEGG:04722,Neurotrophin signaling pathway,BMPR2,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:05214,Glioma,KCTD20,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04520,Adherens junction,CALN1,1
functional_impact,1.0,hsa-miR-151a-3p,KEGG:04218,Cellular senescence,KLF12,1
functional_impact,1.0,hsa-miR-155-5p,KEGG:05215,Prostate cancer,AHCYL2,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:05202,Transcriptional misregulation in cancer,ABI2,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:05200,Pathways in cancer,ABI2,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:04218,Cellular senescence,ABI2,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:04152,AMPK signaling pathway,ABI2,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:04068,FoxO signaling pathway,ABI2,1
degree_centrality,1.0,hsa-miR-16-5p,KEGG:04014,Ras signaling pathway,PPP6R3,1
degree_centrality,1.0,hsa-miR-16-5p,KEGG:04144,Endocytosis,CCNJL,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04012,ErbB signaling pathway,KCTD20,1
pathway_reach,1.0,hsa-miR-150-5p,KEGG:05215,Prostate cancer,ABI2,1
closeness_centrality,1.0,hsa-miR-128-3p,KEGG:05200,Pathways in cancer,HIPK2,1
closeness_centrality,1.0,hsa-miR-128-3p,KEGG:04014,Ras signaling pathway,KIRREL1,1
closeness_centrality,1.0,hsa-miR-128-3p,KEGG:04010,MAPK signaling pathway,KIRREL1,1
closeness_centrality,1.0,hsa-miR-128-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,KIRREL1,1
functional_impact,1.0,hsa-miR-155-5p,KEGG:04310,Wnt signaling pathway,BCORL1,1
closeness_centrality,1.0,hsa-miR-128-3p,KEGG:04310,Wnt signaling pathway,HIPK2,1
functional_impact,1.0,hsa-miR-155-5p,KEGG:05202,Transcriptional misregulation in cancer,AHCYL2,1
functional_impact,1.0,hsa-miR-155-5p,KEGG:04713,Circadian entrainment,VEZF1,1
degree_centrality,1.0,hsa-miR-16-5p,KEGG:04010,MAPK signaling pathway,PPP6R3,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04218,Cellular senescence,CALN1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04380,Osteoclast differentiation,CALN1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04150,mTOR signaling pathway,PPIC,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04310,Wnt signaling pathway,KCTD20,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04550,Signaling pathways regulating pluripotency of stem cells,DAAM1,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04722,Neurotrophin signaling pathway,KCTD20,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04725,Cholinergic synapse,KCTD20,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:05200,Pathways in cancer,KCTD20,1
redundancy_coefficient,1.0,hsa-let-7d-5p,KEGG:05161,Hepatitis B,PDE12,1
redundancy_coefficient,1.0,hsa-miR-200b-3p,KEGG:04310,Wnt signaling pathway,GRAP2,1
functional_impact,1.0,hsa-miR-30a-5p,KEGG:04010,MAPK signaling pathway,GPR157,1
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:04720,Long-term potentiation,COL6A3; KCTD20,2
betweenness_centrality,1.0,hsa-miR-29c-3p,KEGG:01521,EGFR tyrosine kinase inhibitor resistance,PPIC; KIRREL1,2
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04010,MAPK signaling pathway,CALN1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04068,FoxO signaling pathway,CALN1,1
betweenness_centrality,1.0,hsa-miR-33a-5p,KEGG:04144,Endocytosis,CALN1,1
functional_impact,1.0,hsa-miR-7-5p,KEGG:05161,Hepatitis B,BMPR2,1
