accession_id,is_expressed,64efe402-841b-49bc-a370-02a24880dd19,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,03589e93-5465-4e5b-91aa-be97a386e097,84d88e83-f246-45c8-a27c-5f146cb5a4b4,308d2039-4905-49de-861a-c70f97669068,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,f041b9ca-ace6-4425-a928-1ffbf2737243,29cea98e-c370-473d-af6d-393e87c1bd31,7c3c4540-a63e-4737-a23d-a9c999c53f39,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,d4a3af62-0505-49f6-9f34-168bec5cb0d0,485f5497-8ed6-4c98-a733-710988850a13,c5b7ba42-889d-4b7a-a810-298ae179e9c2,5ec7ec6c-20c8-48af-964c-54125c9313c2,c42db931-0c5e-42bc-9590-2edbe16d7e56,6c67482e-8a8a-4a5c-b8be-d573afb35d54,f3533714-4d93-4e83-9f58-3c9dda0effba,27c8aced-b610-4c85-b7ed-3b111b55ef79,8c9b3702-7326-45fc-8457-168dd4921afb,ea6c109d-9823-4fa7-987d-78f2ed377312,3b8748ee-d541-4219-ba20-437311ae376a,5074a94f-c14e-441f-b006-cd8895a550e5,3f0c486c-70c8-4537-a4cc-1ea2e302706d,5e01bf11-33c4-4d86-a97e-54ef83a86a04,3e75bf39-6c1e-460b-956e-3e999daa919c,1c73346e-7c14-4b9e-b43d-4478181e0a4a,4be7af1f-00a3-400a-9584-04756550a692,86723871-7176-4e6c-b9b2-dcf4acf99075,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,82bf32b4-0410-4426-9591-33210d995b98,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,cd746011-8fd7-473d-84e7-f39ec60b6717,12c76136-cc83-42c0-886b-4b4ea167a0d7,268512d6-01f2-4afa-bfbc-55698afe6a1f,7734be37-d611-4651-83e4-7a9e78daf8a2,38a63af6-4f43-4eea-aff2-a42b4118482a,803da4bd-a731-423b-b689-9c876dec117f,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,acad335c-080a-442e-84d8-235fa3116bc6,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,42a6d971-d671-4860-835f-15d184d416b0,bf370830-8f1c-4ca5-a838-aba83f5a964f,3a587350-9c2f-43ea-a607-1eec5356f34b,80a3007d-3d24-48c8-bdb4-38605dcd408f,8790fe0b-8d3a-4f2c-8201-1231da243697,f52a43ab-8cf4-4611-a13a-195778748214,c786cbe6-bedd-4ff1-9c19-8026aaabc738,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,85fb34fe-c751-4806-87a9-419e9ed39dfc,15a6e18f-00b4-4369-8588-294605e0e952,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,cea36b7b-8225-4b98-8371-66ee50eb0641,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852
MIMAT0018201,0,1.083664,0.465242,1.294164,0.762488,1.666328,0.282412,1.01778,1.138418,0.0,2.075356,2.131302,0.312499,1.386812,0.0,2.159981,1.583637,0.0,3.365702,0.22897,1.888592,0.0,1.659111,0.512418,0.0,1.870681,1.848596,1.477072,1.859429,1.612017,0.756129,1.17099,1.793571,0.960822,3.872043,3.723658,1.685229,0.0,0.351587,0.0,0.459206,0.70602,0.0,1.97693,1.896787,1.438125,2.717668,1.228864,1.460566,1.172588,1.408903,1.1340089999999998,1.736355,0.0,0.746154,0.686683,0.72964
MIMAT0018202,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018203,0,0.541832,0.465242,0.431388,0.381244,1.666328,0.282412,0.0,1.138418,0.0,0.345893,0.0,0.624998,0.693406,0.945214,0.863992,0.791819,0.0,1.0356,0.45794,0.0,0.0,0.553037,0.0,0.385534,0.0,0.462149,0.0,0.0,0.537339,0.504086,0.78066,0.0,0.0,0.0,0.0,1.011137,0.429038,0.703174,0.544137,1.377619,0.70602,0.0,0.0,0.632262,0.0,0.0,0.0,0.292113,0.0,1.056678,0.0,0.347271,0.0,0.7461530000000001,0.0,0.72964
MIMAT0018204,0,2.167329,0.930484,2.156942,0.381244,2.221771,0.847236,1.5266699999999995,1.138418,1.679022,0.691786,0.0,0.312499,0.693406,1.890428,0.431996,0.791818,0.888202,1.035602,3.66352,2.832889,1.701762,2.212148,0.7686270000000001,0.771068,0.31178,2.310745,2.215608,1.5495230000000002,1.074677,1.764303,3.12264,1.793571,0.480411,1.2906810000000002,0.930915,3.03341,2.574226,1.054761,0.544137,0.918412,0.0,0.496811,1.581545,0.948394,3.451497,1.729425,1.228864,0.584226,0.87944,2.817806,0.756006,2.430897,3.000106,1.243588,1.373366,1.8241
MIMAT0018205,1,0.541832,1.395726,0.0,1.143732,5.554427,0.564824,4.58001,2.276836,0.559674,0.345893,1.065651,1.562496,3.467029,1.417821,3.45597,0.395909,2.220504,0.2589,1.37382,0.0,4.254403,0.553037,0.512418,0.385534,0.31178,0.462149,0.738536,1.239619,2.686693,0.252043,2.34198,1.793571,0.960822,0.0,0.310305,5.055684,0.0,0.351587,1.6324109999999998,2.755239,0.0,1.490432,1.186158,1.896788,0.0,0.494122,1.5360779999999998,1.168454,0.293147,3.1700310000000003,0.0,1.736355,1.200042,1.243589,2.060049,0.72964
MIMAT0018349,0,0.541832,0.0,0.0,0.762487,1.110886,0.0,0.50889,1.138418,0.559674,0.691786,0.0,0.312499,0.0,0.0,0.0,0.395909,0.0,0.0,0.0,1.416445,0.0,0.0,0.768627,0.771068,0.0,0.0,0.738536,0.0,0.537339,0.504086,0.0,0.597857,0.0,0.0,0.310305,0.0,0.0,0.0,0.544137,0.0,0.70602,0.496811,0.0,0.0,0.287625,0.494121,0.921647,0.292113,1.465734,0.352226,0.378003,0.694542,0.600021,0.0,0.686683,0.0
MIMAT0018350,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.293147,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018351,0,0.0,0.0,0.0,0.0,0.0,0.282412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018352,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.480411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAT0018354,0,0.0,0.0,0.0,0.0,0.555443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.472607,0.0,0.0,0.0,0.0,0.0,0.944296,0.0,0.0,0.0,0.0,0.0,0.0,0.369268,0.0,0.0,0.252043,0.39033,0.0,0.480411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316131,0.0,0.0,0.0,0.0,0.0,0.352226,0.378003,0.0,0.0,0.0,8.926879,0.0
