file_id,data_format,data_type,sample_type,tissue_type,created_datetime,updated_datetime,case_id
939b38f2-d2db-47e9-9031-967b73bcd949,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T17:04:56.981813-05:00,cede5274-279d-4021-8aca-5ecc4bf94d66
89cbbe72-9061-41dc-ab10-d05112727eb5,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:05:16.723527-06:00,2024-07-30T09:14:22.993363-05:00,d2f329b3-5b44-414b-bccd-7b2d1345d21e
eaf6c439-df35-4738-9279-a18c6c2554e3,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:17:19.204415-05:00,2024-07-29T17:12:42.505200-05:00,d2f329b3-5b44-414b-bccd-7b2d1345d21e
a1219d97-0eaf-4566-9542-e73f1d44b948,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:14:29.241326-05:00,2024-07-29T17:06:08.365418-05:00,d5e8d936-40ae-4fd3-b40e-cac54763d71f
3e8e666c-0c7b-4fcc-9fbc-2a8b1cfb4c61,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:06:48.324089-06:00,2024-07-30T09:11:31.803903-05:00,d5e8d936-40ae-4fd3-b40e-cac54763d71f
98731b1c-35a0-4c60-86b1-37b8eba16a2f,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:20:51.233296-05:00,2024-07-29T17:05:17.292819-05:00,d63c186d-add6-492e-8250-e83f46d39d00
b4ae8845-cb08-41d4-8a34-9ab77bebe819,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:04:31.269000-06:00,2024-07-30T09:09:47.908214-05:00,d63c186d-add6-492e-8250-e83f46d39d00
ad22b08f-0bc2-4bf3-96c2-9cb3d65c0718,TSV,Gene Expression Quantification,Primary Tumor,Tumor,2021-12-13T18:10:10.591702-06:00,2024-07-30T09:08:50.467429-05:00,d9dcbb57-f6c2-4465-8a60-afe876e113ca
2b564164-b517-4959-a3fe-fe89236f750c,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:29:44.359578-05:00,2024-07-29T16:57:01.543090-05:00,d9dcbb57-f6c2-4465-8a60-afe876e113ca
901df73e-5132-4856-8811-2ca03381f188,TXT,Isoform Expression Quantification,Primary Tumor,Tumor,2018-03-20T11:17:19.204415-05:00,2024-07-29T17:04:41.184702-05:00,da98be9d-7acf-43ce-aa24-38d1d2604506
