miRNA_region_id,8ca0e4c1-92ab-4653-87e0-cdcc630d8db6,acad335c-080a-442e-84d8-235fa3116bc6,3b8748ee-d541-4219-ba20-437311ae376a,af1bb8e0-9d0f-4e54-9ca4-9b311129a412,600fc778-f0e3-4362-ad0c-cdb64fc76e7b,cd746011-8fd7-473d-84e7-f39ec60b6717,7c3c4540-a63e-4737-a23d-a9c999c53f39,12c76136-cc83-42c0-886b-4b4ea167a0d7,308d2039-4905-49de-861a-c70f97669068,ea6c109d-9823-4fa7-987d-78f2ed377312,485f30ed-85f1-4402-ad3e-8e1ff3a75a36,5e01bf11-33c4-4d86-a97e-54ef83a86a04,15a6e18f-00b4-4369-8588-294605e0e952,80a3007d-3d24-48c8-bdb4-38605dcd408f,f52a43ab-8cf4-4611-a13a-195778748214,3e75bf39-6c1e-460b-956e-3e999daa919c,1f7bbed4-631f-4f97-84a7-9f9bd9eba94c,afd9ffe6-e019-4ea3-ab5f-41a57f9db4de,3f5ad0e5-ab95-4c1e-8dfe-09cab1d1500c,5074a94f-c14e-441f-b006-cd8895a550e5,c786cbe6-bedd-4ff1-9c19-8026aaabc738,1c73346e-7c14-4b9e-b43d-4478181e0a4a,29cea98e-c370-473d-af6d-393e87c1bd31,27c8aced-b610-4c85-b7ed-3b111b55ef79,03589e93-5465-4e5b-91aa-be97a386e097,c42db931-0c5e-42bc-9590-2edbe16d7e56,3ef8d2e0-14fe-438a-bbcd-d0382a4085de,cea36b7b-8225-4b98-8371-66ee50eb0641,7734be37-d611-4651-83e4-7a9e78daf8a2,8790fe0b-8d3a-4f2c-8201-1231da243697,3a587350-9c2f-43ea-a607-1eec5356f34b,485f5497-8ed6-4c98-a733-710988850a13,9b71b456-248a-4ec9-8fd3-bc0c1ea2d852,4be7af1f-00a3-400a-9584-04756550a692,268512d6-01f2-4afa-bfbc-55698afe6a1f,bf370830-8f1c-4ca5-a838-aba83f5a964f,4ebd02b1-6eb1-4923-ad2f-5f4f107e6622,42a6d971-d671-4860-835f-15d184d416b0,3f0c486c-70c8-4537-a4cc-1ea2e302706d,64efe402-841b-49bc-a370-02a24880dd19,ef076f15-36a4-4e8a-a624-8cdeb9c4fa2d,38a63af6-4f43-4eea-aff2-a42b4118482a,f041b9ca-ace6-4425-a928-1ffbf2737243,f3533714-4d93-4e83-9f58-3c9dda0effba,8e5ae73e-8a65-4060-874e-9c0ab8311fcb,8c9b3702-7326-45fc-8457-168dd4921afb,85fb34fe-c751-4806-87a9-419e9ed39dfc,c5b7ba42-889d-4b7a-a810-298ae179e9c2,6c67482e-8a8a-4a5c-b8be-d573afb35d54,803da4bd-a731-423b-b689-9c876dec117f,5ec7ec6c-20c8-48af-964c-54125c9313c2,d4a3af62-0505-49f6-9f34-168bec5cb0d0,86723871-7176-4e6c-b9b2-dcf4acf99075,84d88e83-f246-45c8-a27c-5f146cb5a4b4,7e17b2bf-91b2-4ea2-acc1-59e1537913ce,82bf32b4-0410-4426-9591-33210d995b98,non_zero_samples,%_non_zero_samples
MIMAT0004697,91.84127899999999,42.442696999999995,111.46536,50.127401,83.28748100000001,63.970691,41.415863,34.109149,103.312326,99.62327299999998,39.546091000000004,64.384128,68.06510399999999,60.11356000000001,39.630825,58.92649,34.455528,95.80538100000001,67.136755,36.500428,35.053618,48.9878,53.505645,52.815658,44.864386,39.311674,63.002255000000005,85.835377,53.372406999999995,51.882737000000006,61.961727,72.187364,70.045409,52.80529,55.06911099999999,66.02954100000001,43.732748,58.126853999999994,25.877105999999998,48.223087,48.079086,70.779567,46.817885,47.518786,43.385703,62.050875,51.40834400000001,79.741666,39.986855,36.897234999999995,51.986769,34.811273,93.901108,45.367987,62.695447,58.474049,56,100.0
MIMAT0004699,1.3776190000000001,0.544137,,0.70602,0.537339,1.793571,1.119348,,1.110886,0.472148,0.497436,1.156601,1.0418129999999999,1.150499,0.9216469999999999,0.62356,,0.704452,,,0.292113,0.462149,,0.5178,,0.863992,0.600021,2.0600490000000002,0.62061,0.988243,1.896788,0.624998,,,0.860455,1.186159,1.395726,0.496811,0.256209,,0.691786,0.674092,1.01778,0.444101,0.293147,0.45794,0.378003,0.693406,0.791818,,0.945214,0.710434,0.309905,1.143731,0.847236,0.504086,45,80.35714285714286
MIMAT0004700,4.1328570000000004,1.088274,4.254404,2.11806,5.3733889999999995,1.195714,1.119348,0.960822,4.443543,7.5543700000000005,1.4923060000000001,2.3132029999999997,1.0418129999999999,2.300998,1.8432939999999998,2.182462,0.351587,2.8178050000000003,3.9033,1.659111,0.292113,1.386447,2.276836,2.330102,0.431388,0.863992,1.200042,3.433415,2.172134,0.741182,4.109705,2.187494,1.8240999999999998,1.107804,1.720908,1.97693,1.860968,3.477675,1.024836,1.083664,0.345893,2.35932,0.50889,3.552808,1.172587,1.6027900000000002,1.1340089999999998,1.386812,1.979546,0.858076,2.835642,0.710434,4.028762,4.193682000000001,0.282412,1.260216,56,100.0
MIMAT0004701,4.132858,2.176548,7.657926,4.942138,3.7613710000000005,2.391428,0.559674,4.323695,5.5544270000000004,5.193631,3.979481,3.469804,2.0836259999999998,2.300997,0.9216469999999999,3.7413640000000004,,3.522256,2.34198,2.765184,1.168453,1.386447,,2.589002,2.588329,1.295989,1.200043,0.686683,1.551523,2.223546,2.212919,1.562497,4.377839,2.215607,2.581365,2.767704,2.32621,2.484054,2.818299,2.167329,2.421249,3.707501,6.615571,1.7764030000000002,3.2246129999999997,2.2897,3.780025,2.773624,1.9795470000000002,2.145188,3.308249,1.7760850000000001,1.8594279999999999,9.53109,2.259296,2.0163469999999997,54,96.42857142857143
MIMAT0004702,14.235398,5.44137,6.807046,4.236118,6.985403000000001,15.544281999999999,1.119348,3.843286,5.5544270000000004,5.665777,5.223069,10.023876,9.376317,8.62874,6.144315,5.923827,6.328566,7.748965,8.58726,6.636443,8.763402,10.629427,9.107344,10.097111,3.019717,3.45597,7.200257000000001,7.553513,5.89579,6.917699,6.006494,8.124985,5.1074779999999995,6.646821,3.872045,5.535408,4.65242,6.458539,3.586926,4.87649,10.030889,5.392729,4.58001,6.661512,6.742372,9.61674,9.072062,4.160436,7.522279,3.432303,6.143891,7.459556999999999,12.086282,3.0499490000000002,6.777888,4.788823,56,100.0
MIMAT0004703,357.26257999999996,81.07643300000001,247.60626100000002,242.16476899999998,1312.7181620000001,100.43996299999999,294.38843099999997,71.10076000000001,1384.718442,208.217361,254.93549,50.890449000000004,178.149991,129.431111,119.199691,135.0009,237.32124299999998,1049.63247,81.96929300000001,185.267323,151.022672,130.32603600000002,176.45478500000002,98.123206,221.733603,117.935022,50.401802999999994,40.514298000000004,92.160494,608.510401,266.182521,793.436011,361.536461,129.982254,182.84665900000002,234.46417500000004,262.861731,692.057338,131.69141,105.657327,114.83637600000002,1180.670574,560.28795,109.24879999999999,56.577301999999996,98.228138,95.63463999999999,160.870142,142.52740599999998,89.66886,288.290265,60.742119,144.41556599999998,110.941881,177.354688,290.857985,56,100.0
MIMAT0004748,77.146676,51.693028,21.272016,72.014015,96.18360899999999,102.831391,38.617495,45.639002,66.653115,80.26519499999999,56.458884000000005,53.589183,54.868808,33.939715,63.900865,46.455276,38.322984999999996,81.011904,23.810129,44.242942,46.153929,57.306484,54.644062999999996,75.081082,66.002415,44.063635,67.202405,68.668301,76.95556400000001,39.282646,78.716684,59.687387,50.709956999999996,64.99112699999999,40.441378,75.123428,68.855816,53.655558,46.117614,50.932249,78.51764299999999,51.905015999999996,117.04471099999999,31.975260000000002,46.31717,54.494864,46.49431,53.392246,59.386417,43.332799,51.98676900000001,47.599088,77.166258,42.318037999999994,26.54672,41.587147,56,100.0
MIMAT0004749,6.428889,3.264822,8.508806,0.70602,1.074678,17.935709,3.358043,0.480411,,1.416444,4.974353,7.710675,4.514522,0.287625,7.373176,3.117803,0.703174,,8.58726,3.3182210000000003,6.426496,4.62149,1.138418,1.8123019999999999,2.58833,9.935916,,0.686683,7.447314,1.729426,4.109706,2.187496,2.5537389999999998,2.2156070000000003,3.011592,3.1630909999999997,11.63105,3.974485,4.099344,3.250994,2.767141,2.022274,0.50889,3.996908,1.75888,10.303651,2.646019,2.773624,13.460921,4.7194139999999996,0.945214,12.787814,19.833897999999998,0.381244,7.907535,1.764303,53,94.64285714285714
MIMAT0004751,0.459206,,,1.41204,0.537339,,,,0.555443,0.472148,,0.771067,,,,,,0.352226,,,0.292113,,,,,,,0.686683,,,0.316131,0.624999,,,0.430227,0.790772,,0.496811,,,,1.011138,0.50889,,,,,,,,,0.355217,,0.381244,,0.252043,19,33.92857142857143
MIMAT0004752,0.918413,1.088274,1.701762,1.41204,1.074678,,,,1.110886,1.888592,0.248718,0.385534,0.694542,0.57525,0.614431,0.62356,,1.761129,,,0.292113,,,0.2589,,,,5.493464,1.5515240000000001,0.247061,0.632262,0.312499,,1.107804,,0.790773,,,,0.541832,,0.674092,1.5266699999999997,1.776404,0.293147,,,0.693406,,1.2871139999999999,0.945214,0.355217,1.239619,1.524975,1.129648,0.252043,36,64.28571428571429
