id,label,type
gene133,TRHDE,messenger RNA
gene134,DUSP7,messenger RNA
gene135,SCN7A,messenger RNA
gene136,NRP1,messenger RNA
gene137,IGF2,messenger RNA
gene138,ENTPD5,messenger RNA
gene139,EIF3L,messenger RNA
gene140,KCNJ15,messenger RNA
gene141,CRTAP,messenger RNA
gene142,DZIP1,messenger RNA
gene143,BCL11B,messenger RNA
gene144,LOX,messenger RNA
gene145,MAF,messenger RNA
gene146,FSTL1,messenger RNA
gene147,PLXDC2,messenger RNA
gene148,PXYLP1,messenger RNA
gene149,TBCEL,messenger RNA
gene150,F3,messenger RNA
gene151,RASGRF2,messenger RNA
gene152,CALU,messenger RNA
gene153,SERPINH1,messenger RNA
gene154,DYNLT1,messenger RNA
gene155,COL6A3,messenger RNA
gene156,EIF4E2,messenger RNA
gene157,ITGA11,messenger RNA
gene158,ZEB2,messenger RNA
gene159,NUMBL,messenger RNA
gene160,IGDCC4,messenger RNA
gene161,GATA6,messenger RNA
gene162,RGS7BP,messenger RNA
gene163,TBC1D12,messenger RNA
gene164,RARB,messenger RNA
gene165,RAB14,messenger RNA
gene166,FRMD6,messenger RNA
gene167,KIAA1217,messenger RNA
gene168,NR3C2,messenger RNA
gene169,ADGRB3,messenger RNA
gene170,TGFBR2,messenger RNA
gene171,TRPC3,messenger RNA
gene172,AR,messenger RNA
gene173,RNF38,messenger RNA
gene174,PPP1R9A,messenger RNA
gene175,TBX3,messenger RNA
gene176,MEF2D,messenger RNA
gene177,TPD52,messenger RNA
gene178,ESR1,messenger RNA
gene179,SLC41A2,messenger RNA
gene180,TACC1,messenger RNA
gene181,EDA,messenger RNA
gene182,FRMD4A,messenger RNA
gene183,JCAD,messenger RNA
gene184,MBNL3,messenger RNA
gene185,TBX15,messenger RNA
gene186,DNM3,messenger RNA
gene187,PDGFRA,messenger RNA
gene188,PLEKHM3,messenger RNA
gene189,TBX18,messenger RNA
gene190,FLNC,messenger RNA
gene191,MMP19,messenger RNA
gene192,BICC1,messenger RNA
gene193,ITGA9,messenger RNA
gene194,SRGAP1,messenger RNA
gene195,SHROOM4,messenger RNA
gene196,LATS2,messenger RNA
gene197,PLPPR4,messenger RNA
gene198,KLF6,messenger RNA
gene199,KCNB1,messenger RNA
gene200,SLC2A3,messenger RNA
gene201,PLPP3,messenger RNA
gene202,CBX7,messenger RNA
gene203,KIT,messenger RNA
gene204,CASP10,messenger RNA
gene205,TSHZ2,messenger RNA
gene206,PPP2CB,messenger RNA
gene207,HPSE2,messenger RNA
