mirna,mrna,interaction_id,correlation,pvalue,qvalue
hsa-miR-96-5p,PCSK5,,-0.3329812836539293,1.7852058059177562e-07,6.335787743433458e-05
hsa-miR-96-5p,LMOD1,,-0.3156803504337136,7.500818409711195e-07,0.0001642559537815
hsa-miR-96-5p,CCND2,MIRT053398,-0.3332994269092924,1.737240352561632e-07,6.307385930389621e-05
hsa-miR-96-5p,FOXO1,MIRT001087,-0.3561797704174386,2.2573240841646496e-08,1.4080572003177948e-05
hsa-miR-96-5p,MSN,,-0.3360350260574475,1.3727784935976901e-07,5.232955352122529e-05
hsa-miR-96-5p,SHOX2,,-0.3296819000294336,2.3635965547378886e-07,7.428008134504131e-05
hsa-miR-96-5p,ADAM23,,-0.3842358934847723,1.469023558253258e-09,2.0164764546932694e-06
hsa-miR-96-5p,SEMA5A,,-0.3030050207672505,2.030904311766356e-06,0.0003510068832165
hsa-miR-96-5p,ANTXR2,,-0.3452574864457806,6.102489102643236e-08,2.9578551697437623e-05
hsa-miR-96-5p,SH3PXD2B,,-0.3002038713922121,2.5153254002955778e-06,0.0004013698891657
hsa-miR-96-5p,ARL4C,,-0.3800859636061429,2.2373717989572204e-09,2.7091282232726413e-06
hsa-miR-96-5p,IGSF11,,-0.3432824117089863,7.275657036976656e-08,3.291555214893318e-05
hsa-miR-96-5p,TRPM3,,-0.323187550194168,4.067608453334108e-07,0.0001087398522177
hsa-miR-96-5p,SEPTIN11,,-0.3150905950793842,7.864715908214121e-07,0.0001691646523142
hsa-miR-96-5p,LRCH2,,-0.3719263389952704,5.030359410029938e-09,4.706701512534602e-06
hsa-miR-96-5p,ARHGAP24,,-0.3398328178383312,9.862538659228925e-08,4.1858850934205726e-05
hsa-miR-96-5p,PRRX1,,-0.326539423792787,3.07849751106934e-07,8.974993091273894e-05
hsa-miR-96-5p,GPR85,,-0.3154838313484251,7.620252657562538e-07,0.0001651148324522
hsa-miR-96-5p,HAS2,,-0.3045323510570147,1.8056173286926177e-06,0.0003222365667689
hsa-miR-96-5p,ATOH8,,-0.3012558549482836,2.3217557604708258e-06,0.0003854208181565
hsa-miR-96-5p,BHLHE22,,-0.3880546946690444,9.922699486089675e-10,1.8140151416282264e-06
hsa-miR-29b-3p,SLC16A14,,-0.3082570078085773,1.3517173101782746e-06,0.0002624945752015
hsa-miR-29b-3p,RFLNB,,-0.3190067870561144,5.731053758065502e-07,0.0001371754373056
hsa-miR-29b-3p,GPX7,,-0.3859229184341292,1.2360081676987542e-09,1.8548873997429647e-06
hsa-miR-29b-3p,FKBP14,,-0.4010445706377107,2.514391678585832e-10,6.469686938481257e-07
hsa-miR-29b-3p,KIRREL1,,-0.3666655124054227,8.381919989614957e-09,6.901505281049163e-06
hsa-miR-29b-3p,CAV2,,-0.3299621690877296,2.308209179790753e-07,7.310861651653476e-05
hsa-miR-29b-3p,COL5A1,MIRT734214,-0.3539906418269647,2.7636077203423623e-08,1.602464313222179e-05
hsa-miR-29b-3p,LRRC28,,-0.3292566269023668,2.450078185060034e-07,7.641459757631557e-05
hsa-miR-29b-3p,COL8A1,,-0.3008975102584968,2.386043445639509e-06,0.0003929240904541
hsa-miR-29b-3p,RNF150,,-0.3381235174957148,1.1451513320145295e-07,4.577158756087976e-05
hsa-miR-29b-3p,ISLR2,,-0.3223918325873486,4.3436118574011806e-07,0.0001122747366569
hsa-miR-29b-3p,B3GALT1,,-0.3022732857370456,2.1480867035394325e-06,0.0003639283189218
hsa-miR-29b-3p,ASXL3,,-0.3447937418656013,6.360405867679428e-08,2.981618479158546e-05
hsa-miR-29b-3p,NREP,MIRT048382,-0.4086312048755995,1.0967769779397343e-10,3.225229386057209e-07
hsa-miR-29b-3p,BACH2,,-0.3016506657201724,2.2528348542012032e-06,0.0003770201549293
hsa-miR-29b-3p,MMP16,,-0.3155586973112404,7.574540403591049e-07,0.0001649927269182
hsa-miR-29b-3p,PCSK5,,-0.4253293973024914,1.638761230483912e-11,1.2569041180251098e-07
hsa-miR-29b-3p,CHIC2,,-0.3248166888861956,3.553937652698872e-07,9.885949947564855e-05
hsa-miR-29b-3p,KIAA1549L,,-0.300019911006458,2.5507141782479964e-06,0.0004054453745339
hsa-miR-29b-3p,HEY2,,-0.3086270928199179,1.313100555651842e-06,0.0002573143896207
hsa-miR-29b-3p,TLL1,,-0.3631821683951728,1.1694767002147965e-08,8.597533262704098e-06
hsa-miR-29b-3p,VCL,,-0.3263998303235971,3.114634286596623e-07,8.974993091273894e-05
hsa-miR-29b-3p,LAMA2,MIRT734216,-0.3802013122330853,2.211536679920701e-09,2.7091282232726413e-06
hsa-miR-29b-3p,HMCN1,,-0.3563167549812152,2.2288075109949765e-08,1.4080572003177948e-05
hsa-miR-29b-3p,FBN1,MIRT437555,-0.3424595719999307,7.82584998233483e-08,3.501982803508071e-05
hsa-miR-29b-3p,DIO2,,-0.3301039267967519,2.280670356619193e-07,7.310861651653476e-05
hsa-miR-29b-3p,PPIC,MIRT733069,-0.3540598975016015,2.746036470302364e-08,1.602464313222179e-05
hsa-miR-107,TGFBR3,MIRT565403,-0.3099483612375989,1.1836340437602304e-06,0.0002354059417756
hsa-miR-107,GALNT7,,-0.3526877694478591,3.11505230913657e-08,1.7330214664168035e-05
hsa-miR-192-5p,ACVR2A,MIRT026448,-0.3648897536229374,9.937984636906012e-09,7.719563953146862e-06
hsa-miR-192-5p,PRKG1,,-0.3493202122686427,4.234086341590544e-08,2.2347833409864244e-05
hsa-miR-196a-5p,NEDD4L,,-0.3131903925065359,9.155350247154876e-07,0.0001903619264268
hsa-miR-148a-3p,NHS,,-0.3399555465138424,9.756986387757977e-08,4.184222631225085e-05
hsa-miR-30c-5p,NRG2,,-0.331315628935478,2.0577803815455202e-07,6.831996816761895e-05
hsa-miR-30d-5p,LRMDA,,-0.3148651434378238,8.008230808647239e-07,0.0001708242767674
hsa-miR-210-3p,HIF3A,MIRT054794,-0.4093364527366288,1.0142880211866235e-10,3.212094118787085e-07
hsa-miR-200b-3p,ETS1,MIRT003783,-0.3394177329154907,1.022771394028233e-07,4.2965791347702366e-05
hsa-miR-200b-3p,ATP11C,,-0.3323114514258012,1.8903782114285294e-07,6.519446540435378e-05
hsa-miR-200b-3p,SGCE,,-0.3187233578623047,5.864725020108714e-07,0.0001395635054062
hsa-miR-200b-3p,CCDC82,,-0.3879518932770053,1.002872244673587e-09,1.8140151416282264e-06
hsa-miR-200b-3p,CELF2,,-0.3635782242845022,1.1262422848958666e-08,8.43023065943235e-06
hsa-miR-200b-3p,SLC24A4,,-0.3003048611419361,2.496096880462019e-06,0.0003998514103958
hsa-miR-200b-3p,RUNX1T1,,-0.337149700780248,1.246374626197525e-07,4.795513737002421e-05
hsa-miR-200b-3p,WIPF1,,-0.3784205810551102,2.644504087325793e-09,2.9841951403197104e-06
hsa-miR-200b-3p,FLI1,,-0.3815002943366172,1.939795840729601e-09,2.5761114505482883e-06
hsa-miR-200b-3p,GRAP2,,-0.3126612358675138,9.549285747541133e-07,0.0001965672724702
hsa-miR-200b-3p,QKI,MIRT218291,-0.3684932129438855,7.026771046792231e-09,6.2888073309867256e-06
hsa-miR-200b-3p,FAM126A,,-0.334594814966925,1.554391122107128e-07,5.870892486791591e-05
hsa-miR-200b-3p,ZMAT3,MIRT209178,-0.3191312308464774,5.673287747804962e-07,0.0001365868908125
hsa-miR-200b-3p,ZEB1,MIRT002483,-0.3242777931679277,3.716562750139281e-07,0.0001020047812403
hsa-miR-15b-5p,HOXA3,MIRT475538,-0.3067416648316155,1.5214230435950131e-06,0.0002886426971509
hsa-miR-15b-5p,PIK3IP1,,-0.3232422044081236,4.049279910519221e-07,0.0001087398522177
hsa-miR-141-3p,MEIS2,,-0.4243760496563187,1.831821202397595e-11,1.2569041180251098e-07
hsa-miR-141-3p,PPP2R2B,,-0.3541923952300083,2.7127188967873357e-08,1.602464313222179e-05
hsa-miR-141-3p,WIPF1,,-0.4152472860432501,5.229099677121448e-11,1.793973371728441e-07
hsa-miR-141-3p,WWTR1,,-0.3923020153401318,6.375719670429777e-10,1.381280481352689e-06
hsa-miR-141-3p,CDK6,,-0.3071186176567342,1.4774047597231343e-06,0.0002827075639402
hsa-miR-141-3p,B3GALT1,,-0.3137019375607955,8.789302638498896e-07,0.0001841508594526
hsa-miR-141-3p,SOX17,,-0.4165923610990876,4.4891284935134336e-11,1.793973371728441e-07
hsa-miR-141-3p,MOB3B,,-0.4037439194989281,1.876159654782104e-10,5.149307788514962e-07
hsa-miR-141-3p,PHYHIPL,,-0.4517339344456269,6.50294680604191e-13,1.3385990852896971e-08
hsa-miR-141-3p,ARL4A,,-0.3452492771438959,6.106966149972549e-08,2.9578551697437623e-05
hsa-miR-141-3p,QKI,MIRT099339,-0.3017805201101165,2.230595175471257e-06,0.0003748219297101
hsa-miR-141-3p,TRHDE,,-0.3046729123197916,1.7861247637771302e-06,0.0003222365667689
hsa-miR-141-3p,DUSP7,,-0.344591348234846,6.47622346542934e-08,2.981618479158546e-05
hsa-miR-141-3p,SCN7A,,-0.3408645272434509,9.0082939974039e-08,3.9038153218854855e-05
hsa-miR-141-3p,NRP1,,-0.359310343335007,1.685616186997044e-08,1.119276335523892e-05
hsa-miR-141-3p,IGF2,,-0.3391720916945132,1.0449895138282073e-07,4.302117329479346e-05
hsa-miR-9-5p,ENTPD5,,-0.326814282251502,3.0085141741793744e-07,8.875858807688128e-05
hsa-miR-149-5p,EIF3L,,-0.3226427099745484,4.2547148312308113e-07,0.0001108622499284
hsa-miR-193a-3p,FLI1,,-0.3060581401388575,1.6044466729755422e-06,0.0002973737410181
hsa-miR-200c-3p,FAM126A,,-0.3445189394031746,6.518148682850424e-08,2.981618479158546e-05
hsa-miR-200c-3p,CELF2,,-0.3463368076596776,5.5405451886339955e-08,2.748177167118951e-05
hsa-miR-200c-3p,KCNJ15,,-0.3060073632869729,1.6107834595703877e-06,0.0002973737410181
hsa-miR-200c-3p,CRTAP,,-0.3657132468791662,9.184556578263092e-09,7.271519418663715e-06
hsa-miR-200c-3p,DZIP1,,-0.3136697716294128,8.811901992315621e-07,0.0001841508594526
hsa-miR-200c-3p,BCL11B,,-0.3165044703738597,7.019146463988534e-07,0.0001587754070197
hsa-miR-200c-3p,LOX,,-0.3004646622920165,2.465955992007461e-06,0.0003990725179619
hsa-miR-200c-3p,MAF,,-0.3546583098152605,2.598623092446658e-08,1.5732752072490657e-05
hsa-miR-200c-3p,FSTL1,,-0.3215324549405267,4.661787444272653e-07,0.0001184698316625
hsa-miR-106b-5p,PLXDC2,,-0.3045388437765119,1.80471249548542e-06,0.0003222365667689
hsa-miR-106b-5p,PXYLP1,,-0.3242940249666707,3.7115620602678233e-07,0.0001020047812403
hsa-miR-106b-5p,TBCEL,,-0.3057616392818186,1.6417873307223324e-06,0.0003017443866897
hsa-miR-106b-5p,PLSCR4,,-0.3278747597693785,2.752507542155495e-07,8.271385620656903e-05
hsa-miR-106b-5p,F3,MIRT477194,-0.3184787125370085,5.982495815335894e-07,0.0001415479139204
hsa-miR-106b-5p,RASGRF2,,-0.3165845472693217,6.973951914505416e-07,0.000158624655452
hsa-miR-106b-5p,CYP2U1,,-0.3004332808144467,2.4718475571498285e-06,0.0003990725179619
hsa-miR-29c-3p,GPX7,,-0.3117425160586595,1.027194049942051e-06,0.0002093492665448
hsa-miR-29c-3p,FKBP14,,-0.3778201067132982,2.8081690109388837e-09,3.042355526614286e-06
hsa-miR-29c-3p,CALU,,-0.3070677580206728,1.4832722147997489e-06,0.0002827075639402
hsa-miR-29c-3p,SERPINH1,MIRT437560,-0.4190909759855948,3.3750944231331445e-11,1.793973371728441e-07
hsa-miR-29c-3p,DYNLT1,MIRT523964,-0.3045042159391935,1.8095432666460664e-06,0.0003222365667689
hsa-miR-29c-3p,LOX,MIRT437561,-0.3146534186332392,8.145281512581224e-07,0.0001728521106141
hsa-miR-29c-3p,NREP,,-0.3392110480114964,1.0414352895456562e-07,4.302117329479346e-05
hsa-miR-29c-3p,COL6A3,,-0.3487001575566598,4.47850659173144e-08,2.3338688338606535e-05
hsa-miR-29c-3p,EIF4E2,,-0.3715621050262306,5.212904677729199e-09,4.769112726165186e-06
hsa-miR-29c-3p,PPIC,,-0.3737263448586319,4.2151485579198435e-09,4.254237199217368e-06
hsa-miR-29c-3p,ITGA11,,-0.3230885433800231,4.101013116388585e-07,0.0001089255541861
hsa-miR-29c-3p,SH3PXD2B,,-0.3412010665373894,8.745348920180247e-08,3.871368491343016e-05
hsa-miR-200a-3p,MEIS2,,-0.3977526533580345,3.58075617513339e-10,8.67153829259215e-07
hsa-miR-200a-3p,PPP2R2B,,-0.3279644782838823,2.731833187371247e-07,8.269620624329915e-05
hsa-miR-200a-3p,CORO1C,,-0.3869033190782069,1.1174695298293996e-09,1.8402041229418624e-06
hsa-miR-200a-3p,ZEB2,MIRT001035,-0.351139255847776,3.5888217747243125e-08,1.9699760485816693e-05
hsa-miR-200a-3p,DZIP1,,-0.3546896912928302,2.5911065711751565e-08,1.5732752072490657e-05
hsa-miR-200a-3p,WWTR1,,-0.4774291427878871,2.1304811454639718e-14,8.770977827760624e-10
hsa-miR-200a-3p,NUMBL,,-0.3037456498779368,1.9185085911871336e-06,0.0003360982135769
hsa-miR-200a-3p,IGDCC4,,-0.304458766902713,1.8159023413342176e-06,0.0003222365667689
hsa-miR-200a-3p,BACH2,,-0.3864293505549111,1.173333808351658e-09,1.8548873997429647e-06
hsa-miR-200a-3p,SOX17,,-0.3376084284156032,1.19766672902706e-07,4.666486590276496e-05
hsa-miR-200a-3p,FOXN3,,-0.3064076648717904,1.5614670963781448e-06,0.0002935344241588
hsa-miR-200a-3p,GATA6,MIRT004006,-0.3341629586024205,1.613195629058256e-07,6.037604622972667e-05
hsa-miR-200a-3p,NRP1,,-0.3464893865678618,5.465234761249252e-08,2.743881096169152e-05
hsa-miR-200a-3p,RGS7BP,,-0.3605748592599685,1.496711653693195e-08,1.0314328791118548e-05
hsa-miR-301a-3p,EBF3,,-0.3386147999376699,1.0971268909329208e-07,4.472041284437368e-05
hsa-miR-301a-3p,TBC1D12,,-0.309088159521844,1.266460271605158e-06,0.0002506678025082
hsa-miR-301a-3p,RARB,,-0.3731668888619561,4.453781353852263e-09,4.3656601084939e-06
hsa-miR-301a-3p,RAB14,MIRT469812,-0.3202133507626781,5.193897700016697e-07,0.000127018557651
hsa-miR-301a-3p,FRMD6,,-0.3918139792579254,6.710294062778737e-10,1.381280481352689e-06
hsa-miR-301a-3p,PXYLP1,,-0.3736744031026542,4.236773425827979e-09,4.254237199217368e-06
hsa-miR-301a-3p,KIAA1217,,-0.3123398462524023,9.796386879667112e-07,0.0002006504733577
hsa-miR-301a-3p,NR3C2,,-0.3232692574060287,4.04023681866562e-07,0.0001087398522177
hsa-miR-301a-3p,ADGRB3,,-0.3610112464272531,1.4363876582445918e-08,1.0314328791118548e-05
hsa-miR-301a-3p,TGFBR2,MIRT091690,-0.3167148570736015,6.901000017321525e-07,0.0001578373720628
hsa-miR-301a-3p,TRPC3,MIRT553350,-0.3322501301252553,1.9002977600919269e-07,6.519446540435378e-05
hsa-miR-301a-3p,AR,,-0.3596847568260124,1.6274123778128938e-08,1.098343281675066e-05
hsa-miR-130b-3p,RNF38,,-0.3205856000138511,5.038129374895653e-07,0.0001255828905169
hsa-miR-130b-3p,PPP1R9A,MIRT020286,-0.3162430527901379,7.168643005448708e-07,0.0001595274939953
hsa-miR-363-3p,TBX3,,-0.3105655056591341,1.1274211603863418e-06,0.0002275235379997
hsa-miR-365a-3p,MEF2D,,-0.3029070069428814,2.0462399371364205e-06,0.0003510068832165
hsa-miR-381-3p,TPD52,,-0.3031439912045293,2.009347859891564e-06,0.0003490415276112
hsa-miR-381-3p,ESR1,,-0.3280240923178142,2.718178297218132e-07,8.269620624329915e-05
hsa-miR-342-3p,SLC41A2,MIRT614774,-0.3274797859999653,2.845318634006805e-07,8.488327742277259e-05
hsa-miR-342-3p,TACC1,MIRT043739,-0.3640251398098931,1.0793059698903615e-08,8.228508791558574e-06
hsa-miR-342-3p,EDA,,-0.3447222847447063,6.401067300630082e-08,2.981618479158546e-05
hsa-miR-342-3p,FRMD4A,,-0.424571913361151,1.7904344876041074e-11,1.2569041180251098e-07
hsa-miR-342-3p,CDK6,MIRT659637,-0.3062128832868743,1.5852813575941209e-06,0.0002966565827763
hsa-miR-342-3p,JCAD,,-0.3605288103606489,1.5032177790743348e-08,1.0314328791118548e-05
hsa-miR-342-3p,MBNL3,MIRT547498,-0.3319225191109313,1.9541442056866374e-07,6.611482283480483e-05
hsa-miR-342-3p,TBX15,,-0.3006313087591114,2.4348928752388238e-06,0.0003962138528881
hsa-miR-342-3p,DNM3,,-0.3481982423117201,4.6862382890034364e-08,2.4115968014997803e-05
hsa-miR-342-3p,PDGFRA,,-0.3767649375833232,3.119764925008322e-09,3.293271851222246e-06
hsa-miR-342-3p,PLEKHM3,,-0.3947785535678053,4.911936114425105e-10,1.123441654970929e-06
hsa-miR-342-3p,TBX18,,-0.3267753259345187,3.018339607657068e-07,8.875858807688128e-05
hsa-miR-342-3p,FLNC,,-0.4176820558547016,3.965177109486909e-11,1.793973371728441e-07
hsa-miR-148b-3p,RUNX1T1,,-0.3219318442818316,4.511240663830136e-07,0.0001153560663908
hsa-miR-148b-3p,MMP19,,-0.3014299132572675,2.2911272680999526e-06,0.0003818761882607
hsa-miR-148b-3p,BICC1,,-0.3177385425143272,6.352727534443972e-07,0.0001494488227802
hsa-miR-324-5p,NRG2,,-0.3208488155512635,4.930692600339151e-07,0.0001237754168679
hsa-miR-324-5p,ITGA9,,-0.3172526706719532,6.607552855086156e-07,0.0001519700242966
hsa-miR-20b-5p,SRGAP1,,-0.3782799054660041,2.6819990816349507e-09,2.9841951403197104e-06
hsa-miR-429,TCF4,,-0.3087288120920408,1.3026722480753827e-06,0.0002566015013445
hsa-miR-429,SHROOM4,,-0.3252062520560277,3.440641614158326e-07,9.7309375997004e-05
hsa-miR-429,LATS2,,-0.3174063317000536,6.525924852917167e-07,0.0001513593406471
hsa-miR-429,PLPPR4,,-0.3309292222854544,2.1264878912867398e-07,6.94804603145903e-05
hsa-miR-429,PALM2AKAP2,,-0.3671286597295565,8.016429987378609e-09,6.901505281049163e-06
hsa-miR-429,PRDM16,,-0.3874383055717437,1.057503543906275e-09,1.8140151416282264e-06
hsa-miR-429,KLF6,,-0.3201657374863653,5.214150512042911e-07,0.000127018557651
hsa-miR-429,KCNB1,,-0.328378478548182,2.6383436515376184e-07,8.105818641056135e-05
hsa-miR-429,MAF,,-0.3034567238603112,1.961631941539973e-06,0.0003421967178019
hsa-miR-429,SLC2A3,,-0.3073902297557006,1.4464426164575043e-06,0.0002782644676492
hsa-miR-429,PLPP3,,-0.3100684765482971,1.172487958099918e-06,0.0002343211492573
hsa-miR-429,FAM126A,,-0.3667381136534757,8.323583476397487e-09,6.901505281049163e-06
hsa-miR-429,CCDC82,,-0.3807698633931817,2.088351526519472e-09,2.6867294998525044e-06
hsa-miR-193b-3p,CBX7,,-0.3309317485326454,2.1260316389411895e-07,6.94804603145903e-05
hsa-miR-193b-3p,RUNX1T1,,-0.3011562183902652,2.3394633915786045e-06,0.0003868006761763
hsa-miR-193b-3p,KIT,MIRT734593,-0.41716696677459,4.2049854974284906e-11,1.793973371728441e-07
hsa-miR-193b-3p,CSRNP3,,-0.3528966185916858,3.0559576850290054e-08,1.7234345470542342e-05
hsa-miR-181d-5p,CASP10,,-0.3316709261623513,1.9964857949211722e-07,6.68238403992762e-05
hsa-miR-33b-5p,RUNX1T1,,-0.3857236047738707,1.261552313459229e-09,1.8548873997429647e-06
hsa-miR-33b-5p,TSHZ2,,-0.3505542279395548,3.785259863939964e-08,2.05046530708611e-05
hsa-miR-33b-5p,PALM2AKAP2,,-0.3323030944453805,1.891727139108553e-07,6.519446540435378e-05
hsa-miR-33b-5p,RGMA,,-0.3586456253099457,1.7939246846074882e-08,1.1722870688985026e-05
hsa-miR-33b-5p,CROT,,-0.3025971346954702,2.0954520979382523e-06,0.0003564779645455
hsa-miR-33b-5p,SLC16A7,,-0.3230105524057631,4.12751168847515e-07,0.0001089266209633
hsa-miR-425-5p,PPP2CB,MIRT016657,-0.3102167269768166,1.1588690432998614e-06,0.0002327291689932
hsa-miR-744-5p,HPSE2,,-0.3786971555694801,2.572258529915313e-09,2.9841951403197104e-06
hsa-miR-365b-3p,MEF2D,,-0.3029394705403673,2.041148389848457e-06,0.0003510068832165
