miRNA_region_id,ff79f645-81f1-4a3b-ae72-adc169f30143,aafbf8fb-290d-408e-b104-241b7d492895,91b36078-362b-4909-ac90-1b2d1ea4a545,646eb67c-2e86-4f89-867f-78c31eff5fe0,a44df6fa-36a7-4500-90fd-d62baf48ef52,d0982681-8799-412d-a868-81078e4a6560,eaf6af76-2b28-4128-9371-a3d928d72370,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,3d4b6861-2763-451d-ae0a-6a5adfc591ec,3be37b85-90eb-4f47-909a-8be730172d92,e351b00e-5462-4be5-a57c-162a9b7b996e,86b5eaae-717c-4806-be60-7ffcab935908,f4987886-cc3e-4423-84ae-84911abcd473,86e3408b-76a3-4834-b85e-4d2a07677304,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,8f6d8863-21b1-4469-b233-21bb7c9b954c,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,265fa10b-9393-4c95-99a0-df47069deaac,415d3af2-fc41-43d5-b185-6a09946b9e84,54fb48bb-ab47-4870-beb0-5713d15d8b58,41cd380c-ab97-451e-80b7-3d9653a1e909,02fc7dd7-7e17-4930-8424-52173c33b29b,585f73db-7dc1-49d8-a601-f8d33b318a95,0895e2a3-5571-4ee2-b715-a424d0c9fec4,8334ded1-3815-4766-8861-6fa8313fab6b,0f7a5400-3b1d-42d3-b47a-2979084bf616,81ec1c9c-36c0-48e8-929a-8273d1d3febe,d68e848a-5464-4471-88bd-3faf7e088d91,52fed7ff-b663-4fc1-a294-57776659175a,7e975ee3-173d-4315-aacf-c201122d9868,6dc4e6bf-a8f6-4280-af19-5ed501969f01,a4fc56a4-2493-451a-9b30-5aa38258bcce,85236a1e-2adb-459b-b868-b9486d9a285e,e896f815-d8df-42cc-bdf6-04deb50f6c1a,f424bcaa-7212-4abc-8110-cff56b85c85a,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,e83d4619-5e2b-4da7-8c05-93611ea76c85,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,d7438c8a-6e39-4139-92e7-2aa05bae5d40,be8e6554-07ae-4ec2-8be0-8598556467c9,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,8ecef704-ed0f-4700-a34e-46a174033332,aef6b437-1da5-4f69-970b-977cdc9cd5c5,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,ddde9a13-c70c-464c-8066-65a88ab92dc7,0f40e7fd-789f-49f7-a797-76bbe3c84f47,a576843f-a9f7-47cf-a52f-7f01066fa160,37fb952c-2a89-4903-98b9-6f6d36743218,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,ed76d786-d744-4067-b288-5fe2dc06a310,557f6cb1-95e3-4c8c-b253-538a415b0d07,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,3abbb570-87ad-44c5-b66d-141f63b0ca8b,f3a7612e-35c3-43be-8f96-795874f8225c,non_zero_samples,%_non_zero_samples
MIMAT0004767,14.0,21.0,5.0,32.0,10.0,40.0,15.0,4.0,37.0,17.0,23.0,10.0,8.0,28.0,15.0,6.0,19.0,15.0,20.0,94.0,13.0,13.0,15.0,40.0,6.0,38.0,6.0,5.0,17.0,5.0,8.0,47.0,9.0,35.0,34.0,18.0,15.0,23.0,24.0,19.0,2.0,45.0,12.0,7.0,13.0,7.0,108.0,40.0,18.0,23.0,11.0,4.0,12.0,11.0,51.0,1.0,56,100.0
MIMAT0004768,1.0,,4.0,,2.0,,,1.0,1.0,2.0,1.0,3.0,2.0,1.0,,2.0,,1.0,2.0,,2.0,,1.0,1.0,2.0,,,1.0,,,1.0,1.0,,3.0,,3.0,3.0,,1.0,4.0,2.0,2.0,,1.0,,2.0,3.0,,4.0,1.0,1.0,1.0,,1.0,1.0,,36,64.28571428571429
MIMAT0004770,1.0,,,,,7.0,,1.0,,,1.0,,4.0,3.0,,2.0,,2.0,,,1.0,2.0,,,,3.0,1.0,,,,,,,,1.0,5.0,,,,,,,,1.0,12.0,,,,,,,,,,1.0,,17,30.357142857142854
MIMAT0004773,10.0,6.0,12.0,10.0,4.0,13.0,,6.0,9.0,5.0,1.0,7.0,1.0,12.0,14.0,10.0,13.0,15.0,1.0,5.0,2.0,4.0,14.0,7.0,1.0,7.0,6.0,10.0,11.0,4.0,6.0,2.0,30.0,9.0,6.0,25.0,5.0,8.0,3.0,13.0,12.0,12.0,3.0,2.0,3.0,16.0,6.0,3.0,8.0,7.0,8.0,,2.0,3.0,4.0,1.0,54,96.42857142857143
MIMAT0004774,196.0,80.0,187.0,75.0,33.0,159.0,39.0,85.0,179.0,87.0,144.0,147.0,68.0,223.0,67.0,234.0,70.0,144.0,136.0,130.0,67.0,156.0,284.0,196.0,56.0,123.0,118.0,86.0,169.0,137.0,58.0,132.0,136.0,138.0,47.0,376.0,162.0,263.0,45.0,90.0,86.0,182.0,40.0,72.0,206.0,26.0,266.0,82.0,236.0,184.0,104.0,39.0,58.0,39.0,67.0,23.0,56,100.0
MIMAT0004775,22.0,19.0,10.0,14.0,7.0,22.0,3.0,10.0,16.0,30.0,19.0,19.0,7.0,50.0,7.0,27.0,16.0,32.0,8.0,33.0,7.0,14.0,22.0,23.0,8.0,17.0,14.0,7.0,27.0,9.0,6.0,10.0,26.0,21.0,9.0,32.0,18.0,27.0,18.0,30.0,10.0,17.0,6.0,8.0,14.0,10.0,34.0,11.0,22.0,29.0,14.0,4.0,8.0,11.0,3.0,1.0,56,100.0
MIMAT0004776,10.0,14.0,41.0,20.0,12.0,24.0,5.0,18.0,43.0,17.0,60.0,29.0,7.0,31.0,46.0,12.0,8.0,24.0,4.0,27.0,3.0,2.0,49.0,13.0,23.0,13.0,11.0,2.0,26.0,4.0,21.0,10.0,53.0,11.0,15.0,100.0,10.0,30.0,7.0,18.0,38.0,22.0,14.0,7.0,36.0,34.0,16.0,13.0,37.0,28.0,16.0,1.0,44.0,7.0,42.0,3.0,56,100.0
MIMAT0004780,33.0,59.0,41.0,42.0,38.0,129.0,27.0,6.0,136.0,148.0,74.0,84.0,29.0,82.0,31.0,84.0,84.0,68.0,23.0,68.0,15.0,44.0,34.0,70.0,14.0,30.0,27.0,35.0,119.0,54.0,6.0,35.0,74.0,110.0,118.0,133.0,28.0,106.0,23.0,50.0,41.0,42.0,25.0,28.0,39.0,52.0,82.0,15.0,88.0,112.0,56.0,8.0,25.0,27.0,17.0,10.0,56,100.0
MIMAT0004784,311.0,333.0,76.0,112.0,729.0,763.0,361.0,90.0,557.0,901.0,333.0,784.0,264.0,444.0,87.0,698.0,377.0,257.0,274.0,743.0,373.0,216.0,345.0,453.0,117.0,174.0,149.0,653.0,536.0,265.0,72.0,473.0,25.0,578.0,308.0,187.0,312.0,596.0,454.0,302.0,207.0,240.0,302.0,84.0,639.0,346.0,1282.0,163.0,308.0,162.0,444.0,90.0,138.0,264.0,776.0,126.0,56,100.0
MIMAT0004785,5.0,1.0,5.0,1.0,1.0,,1.0,,,1.0,5.0,2.0,2.0,5.0,,2.0,2.0,2.0,,3.0,1.0,,1.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,,1.0,,3.0,,3.0,,2.0,,2.0,,,1.0,,1.0,,2.0,1.0,7.0,1.0,3.0,,,1.0,3.0,1.0,39,69.64285714285714
