mirna,mrna,interaction_id,correlation,pvalue,qvalue
hsa-let-7a-5p,GIPC1,,-0.4277511961722489,0.0005038145488281,0.0084349496383518
hsa-let-7a-5p,MMP11,,-0.3399863294600136,0.0051780132770078,0.0441810629225155
hsa-let-7b-5p,GJC1,,-0.5982911825017088,5.586414710304474e-07,5.421422589579778e-05
hsa-let-7b-5p,MEF2C,MIRT052262,-0.3408065618591935,0.0050806354772101,0.0436032274257381
hsa-let-7b-5p,SOX6,,-0.4265892002734108,0.0005218178650888,0.0086345336365927
hsa-let-7b-5p,FAM214B,,-0.6013670539986331,4.758972847914999e-07,4.8375840290324095e-05
hsa-let-7b-5p,RDX,MIRT032442,-0.4565276828434724,0.0002027254090404,0.0043742150758838
hsa-let-7b-5p,HIF3A,,-0.5082023239917978,3.18628971563552e-05,0.0011107227883403
hsa-let-7b-5p,CADM2,,-0.5814080656185919,1.3082169117562597e-06,0.0001035730423847
hsa-let-7b-5p,SLC9A9,,-0.5380041011619958,9.498268383555256e-06,0.000449981830935
hsa-let-7b-5p,CERT1,,-0.419958988380041,0.0006360613156484,0.0099264625867822
hsa-let-7b-5p,CRTAP,,-0.4155844155844156,0.0007232441135503,0.0108116328651978
hsa-let-7b-5p,ATPAF1,,-0.3970608339029391,0.001223013815066,0.0157788328901455
hsa-let-7b-5p,PARM1,,-0.5543403964456596,4.652811382597248e-06,0.0002690331345648
hsa-let-7b-5p,PPP1R16B,MIRT052173,-0.5732057416267943,1.944695094189651e-06,0.0001407050128869
hsa-let-7b-5p,TOB2,,-0.374231032125769,0.0022460309153516,0.0245010192777186
hsa-let-7b-5p,GHR,,-0.574982911825017,1.7862500602534446e-06,0.0001310840084323
hsa-let-7b-5p,ACER3,,-0.6494190020505811,3.0713595686890886e-08,6.1942595138145485e-06
hsa-let-7b-5p,ALPK3,,-0.5466165413533836,6.550483469493497e-06,0.0003472198186327
hsa-let-7b-5p,CFL2,,-0.5437457279562543,7.422627547184208e-06,0.0003786643785502
hsa-let-7b-5p,TMEM135,,-0.378673957621326,0.0020020686969713,0.0225940696780738
hsa-let-7b-5p,ATP8B4,,-0.6054682159945317,3.8330556461225147e-07,4.120184540345112e-05
hsa-let-7b-5p,PLXNA2,,-0.4414900888585099,0.0003294825165087,0.0062682373947079
hsa-let-7b-5p,ANKRD33B,,-0.4120300751879699,0.0008018013430644,0.0116517329659797
hsa-let-7b-5p,GRK3,,-0.5684210526315789,2.4386980713116915e-06,0.0001651295409503
hsa-let-7b-5p,EPHA3,,-0.387218045112782,0.0015977617664975,0.0191438457988763
hsa-let-7b-5p,BCAT1,MIRT052293,-0.4810663021189337,8.733796799148122e-05,0.002331787810792
hsa-let-7b-5p,LYVE1,,-0.4747778537252222,0.0001090331678977,0.0027828806504548
hsa-let-7b-5p,ANGPTL2,,-0.5216678058783323,1.870140266687185e-05,0.000745219564131
hsa-let-7b-5p,FZD4,,-0.6602187286397813,1.549997293380865e-08,3.821068177915979e-06
hsa-let-7b-5p,GNS,,-0.4037593984962406,0.001014873721053,0.0137846704790603
hsa-let-7b-5p,ACVR1C,,-0.6425837320574163,4.6698140886491366e-08,8.659980910612445e-06
hsa-let-7b-5p,IGF1,,-0.5452494873547505,6.953208235333164e-06,0.0003600712325036
hsa-let-7b-5p,TMEM233,,-0.4613807245386193,0.0001724824179282,0.0039166732838872
hsa-let-7b-5p,WNT9B,,-0.3629528366370472,0.0029864406301761,0.0297913191915971
hsa-let-7b-5p,PAX3,MIRT052081,-0.468215994531784,0.0001368171402242,0.0033094153031081
hsa-let-7b-5p,KLHL31,,-0.6345864661654135,7.52595189162132e-08,1.2055872117749344e-05
hsa-let-7b-5p,PLCXD3,,-0.5294600136705401,1.3596422360923262e-05,0.0005898325734213
hsa-let-7b-5p,KATNAL1,,-0.3617908407382091,0.003073688023821,0.0304257423064888
hsa-let-7b-5p,ITSN1,,-0.6037593984962406,4.196221642099074e-07,4.395782411795847e-05
hsa-let-7b-5p,CYP19A1,,-0.4228067551521036,0.0005844965347817,0.0093340332972956
hsa-let-7b-5p,DCUN1D3,,-0.3999316473000684,0.0011295658010124,0.0148524734787229
hsa-let-7b-5p,CCDC141,,-0.5549555707450445,4.526096304194025e-06,0.0002643047641806
hsa-let-7b-5p,DIPK2B,,-0.5119617224880384,2.7520449492215107e-05,0.0010017589612245
hsa-let-7b-5p,NAT8L,MIRT309843,-0.544565960355434,7.163062079120235e-06,0.0003690814802694
hsa-let-7b-5p,CPM,,-0.5719753930280246,2.061949230992476e-06,0.0001456061541864
hsa-let-7b-5p,VGLL3,,-0.4683526999316473,0.0001361779761235,0.003297830058253
hsa-let-7b-5p,PCYOX1,,-0.3810663021189337,0.0018806433371847,0.0215486238654487
hsa-let-7b-5p,FIGN,MIRT507244,-0.4347231715652768,0.0004070423538965,0.0072324241120264
hsa-let-7b-5p,MGLL,,-0.588174982911825,9.355518186483396e-07,7.974271805783332e-05
hsa-let-7b-5p,PDP2,MIRT052354,-0.5723171565276828,2.028735251534643e-06,0.0001437538753363
hsa-let-7b-5p,SCD,MIRT032312,-0.5541353383458648,4.695776073661878e-06,0.0002696239960621
hsa-let-7b-5p,HAS2,,-0.4332877648667123,0.0004254728000183,0.0074696331360156
hsa-let-7b-5p,DIAPH2,,-0.579835953520164,1.412674691754459e-06,0.0001099402729392
hsa-let-7b-5p,BTG2,MIRT052067,-0.4433356117566644,0.000310787700481,0.0060352919061812
hsa-let-7b-5p,ATP2B4,,-0.5328092959671907,1.182663185852788e-05,0.000531539963956
