metrics,total_metrics,source,target,target_label,mediators,total_mediators
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:04211,Longevity regulating pathway,CHST1,1
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:05200,Pathways in cancer,CHST1,1
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:04020,Calcium signaling pathway,CHST1,1
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:04014,Ras signaling pathway,CHST1,1
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:04010,MAPK signaling pathway,CHST1,1
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:01522,Endocrine resistance,CHST1,1
functional_impact,1.0,hsa-miR-33b-5p,KEGG:05202,Transcriptional misregulation in cancer,TARDBP,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:05202,Transcriptional misregulation in cancer,B4GALT5,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:05200,Pathways in cancer,B4GALT5,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:04659,Th17 cell differentiation,B4GALT5,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:04211,Longevity regulating pathway,SLC35B4,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:04115,p53 signaling pathway,SLC35B4,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:04068,FoxO signaling pathway,B4GALT5,1
functional_impact,1.0,hsa-miR-29b-3p,KEGG:05202,Transcriptional misregulation in cancer,GPX7,1
pathway_reach,1.0,hsa-miR-30b-5p,KEGG:04010,MAPK signaling pathway,B4GALT5,1
pathway_reach,1.0,hsa-miR-17-5p,KEGG:04010,MAPK signaling pathway,PRKACB; RASGRF2,2
redundancy_coefficient,1.0,hsa-miR-92a-3p,KEGG:05205,Proteoglycans in cancer,CHST1,1
