id,label,type
TNFAIP8,TNFAIP8,Messenger RNA
VXN,VXN,Messenger RNA
DENND6A,DENND6A,Messenger RNA
SLC1A4,SLC1A4,Messenger RNA
ERN1,ERN1,Messenger RNA
SRSF1,SRSF1,Messenger RNA
ZFHX4,ZFHX4,Messenger RNA
DAGLA,DAGLA,Messenger RNA
TMEM234,TMEM234,Messenger RNA
DNMT3A,DNMT3A,Messenger RNA
FBXO33,FBXO33,Messenger RNA
NRK,NRK,Messenger RNA
ELN,ELN,Messenger RNA
STK25,STK25,Messenger RNA
NIN,NIN,Messenger RNA
TSPYL2,TSPYL2,Messenger RNA
GRIN3A,GRIN3A,Messenger RNA
PIP4P2,PIP4P2,Messenger RNA
RAB5B,RAB5B,Messenger RNA
SYNGAP1,SYNGAP1,Messenger RNA
CDC23,CDC23,Messenger RNA
RPS6KA6,RPS6KA6,Messenger RNA
LHX4,LHX4,Messenger RNA
AMMECR1L,AMMECR1L,Messenger RNA
DPP8,DPP8,Messenger RNA
DUSP8,DUSP8,Messenger RNA
ARFGEF3,ARFGEF3,Messenger RNA
HOXA10,HOXA10,Messenger RNA
UBLCP1,UBLCP1,Messenger RNA
UCHL5,UCHL5,Messenger RNA
UBQLNL,UBQLNL,Messenger RNA
TIMM17A,TIMM17A,Messenger RNA
MED12L,MED12L,Messenger RNA
N4BP1,N4BP1,Messenger RNA
ACVR1C,ACVR1C,Messenger RNA
PGRMC2,PGRMC2,Messenger RNA
SMAD2,SMAD2,Messenger RNA
RABEP1,RABEP1,Messenger RNA
TNFRSF19,TNFRSF19,Messenger RNA
TRIM5,TRIM5,Messenger RNA
HMGCS1,HMGCS1,Messenger RNA
PON2,PON2,Messenger RNA
LGI2,LGI2,Messenger RNA
TRPV3,TRPV3,Messenger RNA
ZC3H11A,ZC3H11A,Messenger RNA
S1PR1,S1PR1,Messenger RNA
GNA11,GNA11,Messenger RNA
BBC3,BBC3,Messenger RNA
KMT2E,KMT2E,Messenger RNA
DENND4A,DENND4A,Messenger RNA
RTKN2,RTKN2,Messenger RNA
KRT80,KRT80,Messenger RNA
PSMA5,PSMA5,Messenger RNA
CHEK2,CHEK2,Messenger RNA
ZFYVE27,ZFYVE27,Messenger RNA
ZRANB3,ZRANB3,Messenger RNA
RUNX1,RUNX1,Messenger RNA
SKP1,SKP1,Messenger RNA
TPM3,TPM3,Messenger RNA
FAM102A,FAM102A,Messenger RNA
TVP23B,TVP23B,Messenger RNA
NPR3,NPR3,Messenger RNA
IGSF3,IGSF3,Messenger RNA
CDCA3,CDCA3,Messenger RNA
CARMIL1,CARMIL1,Messenger RNA
EXPH5,EXPH5,Messenger RNA
GOLGA3,GOLGA3,Messenger RNA
HECTD2,HECTD2,Messenger RNA
FNBP4,FNBP4,Messenger RNA
TADA2B,TADA2B,Messenger RNA
ABHD2,ABHD2,Messenger RNA
VPS37C,VPS37C,Messenger RNA
TNKS2,TNKS2,Messenger RNA
SLCO5A1,SLCO5A1,Messenger RNA
RGS9BP,RGS9BP,Messenger RNA
PHC3,PHC3,Messenger RNA
MAPK6,MAPK6,Messenger RNA
TP53INP1,TP53INP1,Messenger RNA
DNAJB12,DNAJB12,Messenger RNA
ZSCAN25,ZSCAN25,Messenger RNA
TNFSF13B,TNFSF13B,Messenger RNA
NUDT3,NUDT3,Messenger RNA
GNA13,GNA13,Messenger RNA
CTBP2,CTBP2,Messenger RNA
ATP10B,ATP10B,Messenger RNA
IPO7,IPO7,Messenger RNA
ELP1,ELP1,Messenger RNA
TMC5,TMC5,Messenger RNA
PANK1,PANK1,Messenger RNA
OXR1,OXR1,Messenger RNA
LDB3,LDB3,Messenger RNA
MLEC,MLEC,Messenger RNA
ZBTB7A,ZBTB7A,Messenger RNA
USP48,USP48,Messenger RNA
PPP2R1A,PPP2R1A,Messenger RNA
RBFOX1,RBFOX1,Messenger RNA
FLOT2,FLOT2,Messenger RNA
CNP,CNP,Messenger RNA
ZNF793,ZNF793,Messenger RNA
GDI1,GDI1,Messenger RNA
PXYLP1,PXYLP1,Messenger RNA
KCNJ3,KCNJ3,Messenger RNA
FBRSL1,FBRSL1,Messenger RNA
FBXO44,FBXO44,Messenger RNA
ZNF236,ZNF236,Messenger RNA
TSN,TSN,Messenger RNA
DR1,DR1,Messenger RNA
ARHGAP12,ARHGAP12,Messenger RNA
ADAM10,ADAM10,Messenger RNA
H1-0,H1-0,Messenger RNA
FBXL20,FBXL20,Messenger RNA
PTAR1,PTAR1,Messenger RNA
EML4,EML4,Messenger RNA
ATL3,ATL3,Messenger RNA
RXRA,RXRA,Messenger RNA
DLGAP2,DLGAP2,Messenger RNA
TLN2,TLN2,Messenger RNA
TRIM71,TRIM71,Messenger RNA
TMEM248,TMEM248,Messenger RNA
AAMP,AAMP,Messenger RNA
NLGN1,NLGN1,Messenger RNA
SLC7A6,SLC7A6,Messenger RNA
UTP25,UTP25,Messenger RNA
CCDC120,CCDC120,Messenger RNA
PURB,PURB,Messenger RNA
VTA1,VTA1,Messenger RNA
SPOPL,SPOPL,Messenger RNA
SPOCK1,SPOCK1,Messenger RNA
LAMB3,LAMB3,Messenger RNA
URB1,URB1,Messenger RNA
KCNE4,KCNE4,Messenger RNA
NFX1,NFX1,Messenger RNA
BZW1,BZW1,Messenger RNA
MIPOL1,MIPOL1,Messenger RNA
DSC2,DSC2,Messenger RNA
FAR1,FAR1,Messenger RNA
