accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000095,hsa-miR-96-5p,RHOJ,-0.3247528438111398,3.572842810571317e-07
MIMAT0000095,hsa-miR-96-5p,FOXP2,-0.4159379035971917,4.835489854176853e-11
MIMAT0000095,hsa-miR-96-5p,LRCH2,-0.3719263389952704,5.030359410029938e-09
MIMAT0000095,hsa-miR-96-5p,FOXF2,-0.3246024291427878,3.617763239679446e-07
MIMAT0000095,hsa-miR-96-5p,ARHGAP24,-0.3398328178383312,9.862538659228925e-08
MIMAT0000095,hsa-miR-96-5p,SEPTIN11,-0.3150905950793842,7.864715908214121e-07
MIMAT0000095,hsa-miR-96-5p,PRDM16,-0.3299603619047696,2.308562303468513e-07
MIMAT0000095,hsa-miR-96-5p,MSN,-0.3360350260574475,1.3727784935976901e-07
MIMAT0000095,hsa-miR-96-5p,ZEB1,-0.3577391052166837,1.9524880598851052e-08
MIMAT0000095,hsa-miR-96-5p,ADGRL3,-0.3662295171552708,8.740633931494587e-09
MIMAT0000095,hsa-miR-96-5p,FOXO1,-0.3561797704174386,2.2573240841646496e-08
MIMAT0000095,hsa-miR-96-5p,EDNRA,-0.3058633585539415,1.6288847212710429e-06
MIMAT0000095,hsa-miR-96-5p,DAB2,-0.3448250861367453,6.342648366514933e-08
MIMAT0000095,hsa-miR-96-5p,JAZF1,-0.3357201291618331,1.410659026954424e-07
MIMAT0000095,hsa-miR-96-5p,ERG,-0.311939461883408,1.0112763526783969e-06
MIMAT0000095,hsa-miR-96-5p,MRAS,-0.3577477621760133,1.9509118783222052e-08
MIMAT0000095,hsa-miR-96-5p,ANTXR2,-0.3452574864457806,6.102489102643237e-08
MIMAT0000095,hsa-miR-96-5p,LMOD1,-0.3156803504337136,7.500818409711195e-07
MIMAT0000095,hsa-miR-96-5p,SGMS2,-0.4378203074951953,3.686647036714899e-12
MIMAT0000095,hsa-miR-96-5p,GPR85,-0.3154838313484251,7.620252657562537e-07
MIMAT0000095,hsa-miR-96-5p,FREM1,-0.3146814383452048,8.127016482401938e-07
MIMAT0000095,hsa-miR-96-5p,PGAP4,-0.4166194140969925,4.475342304936289e-11
MIMAT0000095,hsa-miR-96-5p,FAT3,-0.3449266376010962,6.285442898128708e-08
MIMAT0000095,hsa-miR-96-5p,SHOX2,-0.3296819000294336,2.363596554737889e-07
MIMAT0000095,hsa-miR-96-5p,ATOH8,-0.3012558549482836,2.3217557604708258e-06
MIMAT0000095,hsa-miR-96-5p,HAS2,-0.3045323510570147,1.8056173286926177e-06
MIMAT0000095,hsa-miR-96-5p,SH3PXD2B,-0.3002038713922121,2.5153254002955778e-06
MIMAT0000095,hsa-miR-96-5p,PRIMA1,-0.34050309919144,9.299134094598597e-08
MIMAT0000095,hsa-miR-96-5p,DENND2C,-0.3876706469753394,1.0324414117549452e-09
MIMAT0000095,hsa-miR-96-5p,BHLHE22,-0.3880546946690444,9.922699486089675e-10
MIMAT0000095,hsa-miR-96-5p,GRID1,-0.3605711105826888,1.4972402781310912e-08
MIMAT0000095,hsa-miR-96-5p,ARL4C,-0.3800859636061429,2.2373717989572204e-09
MIMAT0000095,hsa-miR-96-5p,TCF4,-0.3337485066745156,1.6716320083404508e-07
MIMAT0000095,hsa-miR-96-5p,VGLL3,-0.315914088335613,7.361091322176307e-07
MIMAT0000100,hsa-miR-29b-3p,GAS7,-0.3670680610142494,8.06336198627134e-09
MIMAT0000100,hsa-miR-29b-3p,ARHGAP31,-0.3484848156933358,4.5665238064540094e-08
MIMAT0000100,hsa-miR-29b-3p,VCL,-0.3263998303235971,3.114634286596623e-07
MIMAT0000100,hsa-miR-29b-3p,TLL1,-0.3631821683951728,1.1694767002147965e-08
MIMAT0000100,hsa-miR-29b-3p,FERMT2,-0.3594845646415153,1.658287716654553e-08
MIMAT0000100,hsa-miR-29b-3p,ZNF532,-0.3329964333327562,1.782893233075479e-07
MIMAT0000100,hsa-miR-29b-3p,RUNX1T1,-0.3278748484693664,2.752487028713372e-07
MIMAT0000100,hsa-miR-29b-3p,ADAMTS2,-0.3328103087071696,1.811504983951943e-07
MIMAT0000100,hsa-miR-29b-3p,PCSK5,-0.4253293973024914,1.638761230483912e-11
MIMAT0000100,hsa-miR-29b-3p,CAV2,-0.3299621690877296,2.308209179790753e-07
MIMAT0000100,hsa-miR-29b-3p,FKBP14,-0.4010445706377107,2.514391678585832e-10
MIMAT0000100,hsa-miR-29b-3p,SH3PXD2A,-0.3264312118011669,3.106475305977933e-07
MIMAT0000100,hsa-miR-29b-3p,CHIC2,-0.3248166888861956,3.553937652698872e-07
MIMAT0000100,hsa-miR-29b-3p,KIAA1549L,-0.300019911006458,2.5507141782479964e-06
MIMAT0000100,hsa-miR-29b-3p,BACH2,-0.3016506657201724,2.2528348542012032e-06
MIMAT0000100,hsa-miR-29b-3p,ARSB,-0.3411956559378084,8.74951743948272e-08
MIMAT0000100,hsa-miR-29b-3p,GPX7,-0.3859229184341292,1.2360081676987547e-09
MIMAT0000100,hsa-miR-29b-3p,SLC36A1,-0.3210952784943816,4.832082093776476e-07
MIMAT0000100,hsa-miR-29b-3p,CALU,-0.3383172169607146,1.1259805015564893e-07
MIMAT0000100,hsa-miR-29b-3p,COL5A1,-0.3539906418269647,2.7636077203423626e-08
MIMAT0000100,hsa-miR-29b-3p,NREP,-0.4086312048755995,1.0967769779397343e-10
MIMAT0000100,hsa-miR-29b-3p,HEY2,-0.3086270928199179,1.313100555651842e-06
MIMAT0000100,hsa-miR-29b-3p,ASXL3,-0.3447937418656013,6.360405867679428e-08
MIMAT0000100,hsa-miR-29b-3p,HMCN1,-0.3563167549812152,2.2288075109949765e-08
MIMAT0000100,hsa-miR-29b-3p,COL8A1,-0.3008975102584968,2.386043445639509e-06
MIMAT0000100,hsa-miR-29b-3p,MMP16,-0.3155586973112404,7.574540403591049e-07
MIMAT0000100,hsa-miR-29b-3p,SLC16A14,-0.3082570078085773,1.3517173101782746e-06
MIMAT0000100,hsa-miR-29b-3p,COL6A3,-0.3765095572830998,3.200057010406957e-09
MIMAT0000100,hsa-miR-29b-3p,FSTL1,-0.3813466333085167,1.970173354752889e-09
MIMAT0000100,hsa-miR-29b-3p,FBN1,-0.3424595719999307,7.82584998233483e-08
MIMAT0000100,hsa-miR-29b-3p,ISLR2,-0.3223918325873486,4.343611857401178e-07
MIMAT0000100,hsa-miR-29b-3p,LRRC28,-0.3292566269023668,2.450078185060034e-07
MIMAT0000100,hsa-miR-29b-3p,PPIC,-0.3540598975016015,2.746036470302364e-08
MIMAT0000100,hsa-miR-29b-3p,RNF150,-0.3381235174957148,1.1451513320145297e-07
MIMAT0000100,hsa-miR-29b-3p,SH3PXD2B,-0.3995976678151565,2.9385065548750344e-10
MIMAT0000100,hsa-miR-29b-3p,RFLNB,-0.3190067870561144,5.731053758065502e-07
MIMAT0000100,hsa-miR-29b-3p,KIRREL1,-0.3666655124054227,8.381919989614957e-09
MIMAT0000100,hsa-miR-29b-3p,LAMA2,-0.3802013122330853,2.211536679920701e-09
MIMAT0000100,hsa-miR-29b-3p,TCF4,-0.3412898003705178,8.677256674859466e-08
MIMAT0000100,hsa-miR-29b-3p,DIO2,-0.3301039267967519,2.280670356619193e-07
MIMAT0000100,hsa-miR-29b-3p,ZNF469,-0.3727163875788262,4.655370497180789e-09
MIMAT0000103,hsa-miR-106a-5p,RAB11FIP5,-0.32082799487508,4.939110567552913e-07
MIMAT0000104,hsa-miR-107,TGFBR3,-0.3099483612375989,1.1836340437602304e-06
MIMAT0000104,hsa-miR-107,GALNT7,-0.3526877694478591,3.11505230913657e-08
MIMAT0000222,hsa-miR-192-5p,ACVR2A,-0.3648897536229374,9.937984636906012e-09
MIMAT0000222,hsa-miR-192-5p,SH3RF3,-0.3003066727842512,2.4957532223283072e-06
MIMAT0000222,hsa-miR-192-5p,PRKG1,-0.3493202122686427,4.234086341590544e-08
MIMAT0000226,hsa-miR-196a-5p,NEDD4L,-0.3131903925065359,9.155350247154876e-07
MIMAT0000226,hsa-miR-196a-5p,CREBL2,-0.3127629551396367,9.472325624971222e-07
MIMAT0000243,hsa-miR-148a-3p,NHS,-0.3399555465138424,9.756986387757977e-08
MIMAT0000244,hsa-miR-30c-5p,NRG2,-0.331315628935478,2.0577803815455202e-07
MIMAT0000245,hsa-miR-30d-5p,LRMDA,-0.3148651434378238,8.008230808647239e-07
MIMAT0000267,hsa-miR-210-3p,ISCU,-0.3195359436951365,5.489245341155468e-07
MIMAT0000318,hsa-miR-200b-3p,CELF2,-0.3635782242845022,1.1262422848958667e-08
MIMAT0000318,hsa-miR-200b-3p,MYLK,-0.3146328583548314,8.15870892999252e-07
MIMAT0000318,hsa-miR-200b-3p,RUNX1T1,-0.337149700780248,1.246374626197525e-07
