accession_id,mirna_name,gene_name,mirtarbase,correlation,pvalue,qvalue
MIMAT0000065,hsa-let-7d-5p,EXOC5,,-0.10008333912077227,0.13838233987181717,0.480602543460675
MIMAT0000065,hsa-let-7d-5p,CYP46A1,,-0.005521216751163275,0.4761378337719593,0.8328047103620816
MIMAT0000065,hsa-let-7d-5p,LYVE1,,-0.17199111049378427,0.03016525920252961,0.23439736022696098
MIMAT0000065,hsa-let-7d-5p,CPSF4,,0.03213417598444336,0.6362367740054891,0.9355884265254616
MIMAT0000065,hsa-let-7d-5p,DIAPH2,,-0.06665740676435862,0.2347301485955819,0.6143814284144898
MIMAT0000065,hsa-let-7d-5p,BTG2,,-0.06415028821445933,0.24318522531567288,0.6244818201734617
MIMAT0000065,hsa-let-7d-5p,ERP29,,-0.013931523022432113,0.43997913021648816,0.8066577961203563
MIMAT0000065,hsa-let-7d-5p,PKIA,,-0.14016251128550591,0.0633954069969681,0.33482046320181913
MIMAT0000065,hsa-let-7d-5p,B4GAT1,,0.037433155080213894,0.6575956063109494,0.946838018887972
MIMAT0000065,hsa-let-7d-5p,ADAMTS1,,-0.13819015209389537,0.06613840977023545,0.34062787534051
MIMAT0000065,hsa-let-7d-5p,TUSC2,,-0.0237169247864435,0.3985420306145308,0.7740619471800849
MIMAT0000065,hsa-let-7d-5p,ICOS,,-0.0008195013542607124,0.49645615268832927,0.8484620926574713
MIMAT0000065,hsa-let-7d-5p,ANGPTL2,,-0.036710882700187505,0.34528835223855203,0.7280872860740089
MIMAT0000065,hsa-let-7d-5p,BACE2,,0.04485033682894645,0.6866628816663118,0.9612094495277689
MIMAT0000065,hsa-let-7d-5p,CBX5,MIRT549022,-0.12092506424057226,0.09414810759844293,0.40282513424654925
MIMAT0000065,hsa-let-7d-5p,FZD4,,-0.06557399819431904,0.23836404011430434,0.6180770402132516
MIMAT0000065,hsa-let-7d-5p,AGO1,MIRT437855,-0.08206125425376762,0.18645629398659014,0.5522073052201104
MIMAT0000065,hsa-let-7d-5p,DNAJB9,,-0.20650045142023749,0.011821863379832024,0.14998283312305227
MIMAT0000065,hsa-let-7d-5p,BLOC1S6,,-0.22944648933953743,0.005853113770046451,0.10849378453366654
