source,target,weight
hsa-miR-17-5p,hsa-miR-20a-5p,0.57
hsa-miR-17-5p,hsa-miR-106a-5p,0.14
hsa-miR-18a-5p,hsa-miR-19a-3p,0.12
hsa-miR-18a-5p,hsa-miR-19b-3p,0.14
hsa-miR-19a-3p,hsa-miR-19b-3p,0.67
hsa-miR-20a-5p,hsa-miR-93-5p,0.12
hsa-miR-20a-5p,hsa-miR-130b-3p,0.17
hsa-miR-23a-3p,hsa-miR-151a-3p,0.5
hsa-miR-27a-3p,hsa-miR-128-3p,0.25
hsa-miR-29a-3p,hsa-miR-29b-3p,0.17
hsa-miR-93-5p,hsa-miR-106b-5p,0.13
hsa-miR-221-3p,hsa-miR-222-3p,0.25
hsa-miR-200b-3p,hsa-miR-200c-3p,0.16
