gene_id,gene_name,is_expressed
ENSG00000007168.14,PAFAH1B1,1
ENSG00000007171.18,NOS2,1
ENSG00000007174.18,DNAH9,1
ENSG00000007202.15,KIAA0100,1
ENSG00000007216.15,SLC13A2,1
ENSG00000007237.19,GAS7,1
ENSG00000007255.10,TRAPPC6A,1
ENSG00000007264.15,MATK,1
ENSG00000007306.15,CEACAM7,1
ENSG00000007312.13,CD79B,1
ENSG00000007314.12,SCN4A,1
ENSG00000007341.19,ST7L,1
ENSG00000007350.17,TKTL1,1
ENSG00000007372.24,PAX6,1
ENSG00000007376.8,RPUSD1,1
ENSG00000007384.15,RHBDF1,1
ENSG00000007392.17,LUC7L,1
ENSG00000007402.12,CACNA2D2,1
ENSG00000007516.14,BAIAP3,1
ENSG00000007520.4,TSR3,1
ENSG00000007541.17,PIGQ,1
ENSG00000007545.16,CRAMP1,1
ENSG00000007866.22,TEAD3,1
ENSG00000007908.16,SELE,1
ENSG00000007923.16,DNAJC11,1
ENSG00000007933.13,FMO3,1
ENSG00000007944.15,MYLIP,1
ENSG00000007952.18,NOX1,1
ENSG00000007968.7,E2F2,1
ENSG00000008018.9,PSMB1,1
ENSG00000008056.14,SYN1,1
ENSG00000008083.14,JARID2,1
ENSG00000008086.13,CDKL5,1
ENSG00000008118.10,CAMK1G,1
ENSG00000008128.23,CDK11A,1
ENSG00000008130.15,NADK,1
ENSG00000008196.13,TFAP2B,1
ENSG00000008197.5,TFAP2D,0
ENSG00000008226.20,DLEC1,1
ENSG00000008256.16,CYTH3,1
ENSG00000008277.14,ADAM22,1
ENSG00000008282.9,SYPL1,1
ENSG00000008283.16,CYB561,1
ENSG00000008294.21,SPAG9,1
ENSG00000008300.17,CELSR3,1
ENSG00000008311.15,AASS,1
ENSG00000008323.15,PLEKHG6,1
ENSG00000008324.12,SS18L2,1
ENSG00000008382.16,MPND,1
ENSG00000008394.13,MGST1,1
ENSG00000008405.12,CRY1,1
ENSG00000008438.5,PGLYRP1,0
ENSG00000008441.18,NFIX,1
ENSG00000008513.16,ST3GAL1,1
ENSG00000008516.17,MMP25,1
ENSG00000008517.18,IL32,1
ENSG00000008710.20,PKD1,1
ENSG00000008735.14,MAPK8IP2,1
ENSG00000008838.20,MED24,1
ENSG00000008853.17,RHOBTB2,1
ENSG00000008869.12,HEATR5B,1
ENSG00000008952.17,SEC62,1
ENSG00000008988.11,RPS20,1
ENSG00000009307.16,CSDE1,1
ENSG00000009335.18,UBE3C,1
ENSG00000009413.16,REV3L,1
ENSG00000009694.13,TENM1,1
ENSG00000009709.12,PAX7,1
ENSG00000009724.17,MASP2,1
ENSG00000009765.15,IYD,1
ENSG00000009780.16,FAM76A,1
ENSG00000009790.15,TRAF3IP3,1
ENSG00000009830.12,POMT2,1
ENSG00000009844.16,VTA1,1
ENSG00000009950.16,MLXIPL,1
ENSG00000009954.11,BAZ1B,1
ENSG00000010017.13,RANBP9,1
ENSG00000010030.14,ETV7,1
ENSG00000010072.16,SPRTN,1
ENSG00000010165.20,EEF1AKNMT,1
ENSG00000010219.13,DYRK4,1
ENSG00000010244.19,ZNF207,1
ENSG00000010256.11,UQCRC1,1
ENSG00000010270.14,STARD3NL,1
ENSG00000010278.15,CD9,1
ENSG00000010282.15,HHATL,1
ENSG00000010292.13,NCAPD2,1
ENSG00000010295.20,IFFO1,1
ENSG00000010310.9,GIPR,1
ENSG00000010318.21,PHF7,1
ENSG00000010319.7,SEMA3G,1
ENSG00000010322.16,NISCH,1
ENSG00000010327.10,STAB1,1
ENSG00000010361.14,FUZ,1
ENSG00000010379.16,SLC6A13,1
ENSG00000010404.18,IDS,1
ENSG00000010438.17,PRSS3,1
ENSG00000010539.12,ZNF200,1
ENSG00000010610.10,CD4,1
ENSG00000010626.15,LRRC23,1
ENSG00000010671.16,BTK,1
ENSG00000010704.18,HFE,1
ENSG00000010803.16,SCMH1,1
ENSG00000010810.17,FYN,1
ENSG00000010818.10,HIVEP2,1
ENSG00000010932.17,FMO1,1
ENSG00000011007.12,ELOA,1
ENSG00000011009.11,LYPLA2,1
ENSG00000011021.23,CLCN6,1
ENSG00000011028.14,MRC2,1
ENSG00000011052.21,NME1-NME2,0
ENSG00000011083.9,SLC6A7,1
ENSG00000011105.14,TSPAN9,1
ENSG00000011114.15,BTBD7,1
ENSG00000011132.12,APBA3,1
ENSG00000011143.19,MKS1,1
ENSG00000011198.10,ABHD5,1
ENSG00000011201.12,ANOS1,1
ENSG00000011243.18,AKAP8L,1
ENSG00000011258.16,MBTD1,1
ENSG00000011260.14,UTP18,1
ENSG00000011275.19,RNF216,1
ENSG00000011295.16,TTC19,1
ENSG00000011304.22,PTBP1,1
ENSG00000011332.19,DPF1,1
ENSG00000011347.10,SYT7,1
ENSG00000011376.12,LARS2,1
ENSG00000011405.13,PIK3C2A,1
ENSG00000011422.12,PLAUR,1
ENSG00000011426.11,ANLN,1
ENSG00000011451.21,WIZ,1
ENSG00000011454.18,RABGAP1,1
ENSG00000011465.18,DCN,1
ENSG00000011478.13,QPCTL,1
ENSG00000011485.15,PPP5C,1
ENSG00000011523.14,CEP68,1
ENSG00000011566.15,MAP4K3,1
ENSG00000011590.14,ZBTB32,1
ENSG00000011600.12,TYROBP,1
ENSG00000011638.11,TMEM159,1
ENSG00000011677.13,GABRA3,1
ENSG00000012048.23,BRCA1,1
