accession_id,mirna_name,gene_name,correlation,pvalue
MIMAT0000065,hsa-let-7d-5p,TUSC2,-0.3107997265892003,0.009865633651258
MIMAT0000065,hsa-let-7d-5p,ABCC5,-0.4701298701298701,0.0001281126461531
MIMAT0000065,hsa-let-7d-5p,SNX17,-0.409501025290499,0.0008622570701542
MIMAT0000065,hsa-let-7d-5p,HDLBP,-0.3137388926862611,0.0092701963594161
MIMAT0000065,hsa-let-7d-5p,STRN,-0.4356801093643199,0.0003951585200657
MIMAT0000065,hsa-let-7d-5p,AAK1,-0.4351332877648667,0.0004019103850207
MIMAT0000065,hsa-let-7d-5p,EDEM3,-0.3674641148325359,0.0026679281510988
MIMAT0000065,hsa-let-7d-5p,MEF2D,-0.562406015037594,3.22537611235402e-06
MIMAT0000065,hsa-let-7d-5p,SWT1,-0.4265892002734108,0.0005218178650888
MIMAT0000065,hsa-let-7d-5p,TMED5,-0.3935064935064935,0.0013481956411475
MIMAT0000065,hsa-let-7d-5p,DARS2,-0.3873547505126452,0.0015919286968114
MIMAT0000065,hsa-let-7d-5p,SENP5,-0.3970608339029391,0.001223013815066
MIMAT0000065,hsa-let-7d-5p,SLF2,-0.4330827067669173,0.0004281662216939
MIMAT0000065,hsa-let-7d-5p,ZNF644,-0.3820915926179084,0.0018306270601921
MIMAT0000065,hsa-let-7d-5p,MRS2,-0.3352016404647983,0.0057788343076448
MIMAT0000065,hsa-let-7d-5p,CCDC93,-0.3735475051264525,0.0022857986272036
MIMAT0000065,hsa-let-7d-5p,PLAGL2,-0.3917976760082023,0.0014123318263546
MIMAT0000065,hsa-let-7d-5p,MTUS1,-0.3177033492822966,0.0085156670252436
MIMAT0000065,hsa-let-7d-5p,PUDP,-0.4994531784005468,4.4516101411220064e-05
MIMAT0000065,hsa-let-7d-5p,ZNF341,-0.368421052631579,0.0026043333852283
MIMAT0000065,hsa-let-7d-5p,KCNC3,-0.3712235133287764,0.0024256828910027
MIMAT0000065,hsa-let-7d-5p,PRKAB2,-0.3423786739576213,0.0048984164000186
MIMAT0000065,hsa-let-7d-5p,CDK8,-0.5140123034859877,2.5388223713675543e-05
MIMAT0000065,hsa-let-7d-5p,SPIRE1,-0.340123034859877,0.0051616724323034
MIMAT0000065,hsa-let-7d-5p,HOOK1,-0.492822966507177,5.701374073466198e-05
MIMAT0000065,hsa-let-7d-5p,ZC3H10,-0.3814764183185236,0.0018604938204563
MIMAT0000065,hsa-let-7d-5p,UGGT1,-0.4021872863978127,0.0010606589913824
MIMAT0000065,hsa-let-7d-5p,RDX,-0.3466848940533151,0.0044279846125323
MIMAT0000065,hsa-let-7d-5p,ANKRD52,-0.491866028708134,5.906202417215901e-05
MIMAT0000065,hsa-let-7d-5p,ZNF740,-0.3996582365003417,0.0011381832487728
MIMAT0000065,hsa-let-7d-5p,WDFY2,-0.3937799043062201,0.0013381774582158
MIMAT0000065,hsa-let-7d-5p,SBNO1,-0.335475051264525,0.005742950122928
MIMAT0000065,hsa-let-7d-5p,NAA30,-0.3403964456596036,0.0051291244939737
MIMAT0000065,hsa-let-7d-5p,NCOR1,-0.4090225563909775,0.0008741423035709
MIMAT0000065,hsa-let-7d-5p,ZNF473,-0.430622009569378,0.0004617070297604
MIMAT0000065,hsa-let-7d-5p,ABL2,-0.382365003417635,0.0018174894828352
MIMAT0000065,hsa-let-7d-5p,SOX13,-0.4101161995898837,0.0008471883205821
MIMAT0000065,hsa-let-7d-5p,POLR2D,-0.3393711551606288,0.0052521018808048
MIMAT0000065,hsa-let-7d-5p,GOLGA4,-0.416678058783322,0.000700499826931
MIMAT0000065,hsa-let-7d-5p,ZC3HAV1L,-0.4022556390977443,0.0010586306909113
MIMAT0000065,hsa-let-7d-5p,USP12,-0.4943267259056733,5.392617630092761e-05
MIMAT0000065,hsa-let-7d-5p,SLC30A6,-0.4326042378673957,0.0004345107119987
MIMAT0000065,hsa-let-7d-5p,SREK1,-0.3282296650717703,0.0067615121409382
